r_id,r_c_id,r_start_date,r_end_date,hours,total_cost,r_p_id,r_e_id
40,4311,2024-01-10 07:26:00,2024-01-10 08:26:00,,,10040,105
41,142,2024-01-10 15:45:00,2024-01-10 17:45:00,,,10041,111
42,833,2024-01-10 16:12:00,2024-01-10 17:12:00,,,10042,106
43,841,2024-01-11 07:57:00,2024-01-11 09:57:00,,,10043,105
44,3248,2024-01-11 08:52:00,2024-01-11 11:52:00,,,10044,106
45,787,2024-01-11 09:22:00,2024-01-11 12:22:00,,,10045,105
46,2315,2024-01-11 20:23:00,2024-01-11 22:00:00,,,10046,107
47,3873,2024-01-11 20:54:00,2024-01-11 21:54:00,,,10047,102
48,4816,2024-01-12 07:29:00,2024-01-12 08:29:00,,,10048,110
49,1703,2024-01-12 10:12:00,2024-01-12 12:12:00,,,10049,110
50,364,2024-01-12 12:58:00,2024-01-12 14:58:00,,,10050,101
51,4874,2024-01-12 14:55:00,2024-01-12 16:55:00,,,10051,102
52,2286,2024-01-12 19:44:00,2024-01-12 22:00:00,,,10052,102
53,2787,2024-01-12 20:05:00,2024-01-12 21:05:00,,,10053,103
54,2426,2024-01-12 20:16:00,2024-01-12 22:00:00,,,10054,102
55,4433,2024-01-13 07:01:00,2024-01-13 09:01:00,,,10055,109
56,4845,2024-01-13 11:40:00,2024-01-13 12:40:00,,,10056,109
57,1361,2024-01-13 12:32:00,2024-01-13 13:32:00,,,10057,109
58,3996,2024-01-13 14:13:00,2024-01-13 16:13:00,,,10058,109
59,3654,2024-01-13 16:14:00,2024-01-13 17:14:00,,,10059,109
60,2509,2024-01-13 18:00:00,2024-01-13 22:00:00,,,10060,103
61,4815,2024-01-13 18:49:00,2024-01-13 19:49:00,,,10061,103
62,2445,2024-01-14 07:02:00,2024-01-14 09:02:00,,,10062,104
63,2088,2024-01-14 08:46:00,2024-01-14 09:46:00,,,10063,106
64,2686,2024-01-14 08:47:00,2024-01-14 10:47:00,,,10064,106
65,2047,2024-01-14 08:53:00,2024-01-14 09:53:00,,,10065,104
66,4304,2024-01-14 10:19:00,2024-01-14 12:19:00,,,10066,104
67,2980,2024-01-14 11:29:00,2024-01-14 12:29:00,,,10067,108
68,2648,2024-01-14 12:06:00,2024-01-14 14:06:00,,,10068,104
69,3745,2024-01-14 13:54:00,2024-01-14 14:54:00,,,10069,106
70,2497,2024-01-14 20:35:00,2024-01-14 21:35:00,,,10070,105
71,2781,2024-01-15 10:21:00,2024-01-15 12:21:00,,,10071,108
72,3023,2024-01-15 20:30:00,2024-01-15 22:00:00,,,10072,102
73,2356,2024-01-16 07:22:00,2024-01-16 08:22:00,,,10073,108
74,4311,2024-01-16 16:24:00,2024-01-16 18:24:00,,,10074,107
75,2316,2024-01-17 09:12:00,2024-01-17 10:12:00,,,10075,108
76,4127,2024-01-17 18:46:00,2024-01-17 21:46:00,,,10076,112
77,2542,2024-01-17 20:07:00,2024-01-17 21:07:00,,,10077,112
78,44,2024-01-18 07:20:00,2024-01-18 08:20:00,,,10078,101
79,2116,2024-01-18 11:22:00,2024-01-18 13:22:00,,,10079,110
80,2475,2024-01-18 14:50:00,2024-01-18 15:50:00,,,10080,102
81,3926,2024-01-18 20:57:00,2024-01-18 21:57:00,,,10081,109
82,4737,2024-01-19 07:14:00,2024-01-19 08:14:00,,,10082,103
83,858,2024-01-19 12:11:00,2024-01-19 14:11:00,,,10083,103
84,145,2024-01-19 17:54:00,2024-01-19 18:54:00,,,10084,102
85,3748,2024-01-19 17:58:00,2024-01-19 18:58:00,,,10085,107
86,294,2024-01-19 20:19:00,2024-01-19 22:00:00,,,10086,102
87,1171,2024-01-19 20:44:00,2024-01-19 21:44:00,,,10087,107
88,1337,2024-01-20 07:23:00,2024-01-20 08:23:00,,,10088,107
89,2835,2024-01-20 07:44:00,2024-01-20 08:44:00,,,10089,111
90,3847,2024-01-20 11:38:00,2024-01-20 13:38:00,,,10090,109
91,3121,2024-01-20 12:46:00,2024-01-20 15:46:00,,,10091,109
92,3615,2024-01-20 16:16:00,2024-01-20 18:16:00,,,10092,111
93,3095,2024-01-20 16:31:00,2024-01-20 18:31:00,,,10093,104
94,280,2024-01-20 20:32:00,2024-01-20 21:32:00,,,10094,112
95,4241,2024-01-20 20:33:00,2024-01-20 21:33:00,,,10095,104
96,177,2024-01-20 20:44:00,2024-01-20 22:00:00,,,10096,111
97,326,2024-01-21 07:25:00,2024-01-21 08:25:00,,,10097,104
98,1758,2024-01-21 09:41:00,2024-01-21 12:41:00,,,10098,104
99,2581,2024-01-21 13:39:00,2024-01-21 16:39:00,,,10099,107
100,2177,2024-01-21 14:27:00,2024-01-21 17:27:00,,,10100,105
101,3498,2024-01-21 16:34:00,2024-01-21 17:34:00,,,10101,105
102,4038,2024-01-21 17:12:00,2024-01-21 20:12:00,,,10102,107
103,94,2024-01-21 18:21:00,2024-01-21 20:21:00,,,10103,105
104,3196,2024-01-21 20:17:00,2024-01-21 21:17:00,,,10104,105
105,2636,2024-01-22 13:32:00,2024-01-22 17:32:00,,,10105,106
106,3084,2024-01-22 18:23:00,2024-01-22 22:00:00,,,10106,112
107,3515,2024-01-22 18:44:00,2024-01-22 20:44:00,,,10107,101
108,4368,2024-01-23 07:16:00,2024-01-23 08:16:00,,,10108,110
109,704,2024-01-23 11:20:00,2024-01-23 14:20:00,,,10109,106
110,3396,2024-01-23 12:05:00,2024-01-23 14:05:00,,,10110,106
111,4243,2024-01-24 07:35:00,2024-01-24 08:35:00,,,10111,110
112,1433,2024-01-24 12:52:00,2024-01-24 14:52:00,,,10112,110
113,12,2024-01-24 15:54:00,2024-01-24 17:54:00,,,10113,103
114,2305,2024-01-24 16:07:00,2024-01-24 18:07:00,,,10114,103
115,2393,2024-01-25 12:47:00,2024-01-25 13:47:00,,,10115,109
116,1627,2024-01-25 18:23:00,2024-01-25 21:23:00,,,10116,102
117,3046,2024-01-25 19:13:00,2024-01-25 21:13:00,,,10117,112
118,4630,2024-01-25 20:43:00,2024-01-25 22:00:00,,,10118,112
119,4740,2024-01-25 20:56:00,2024-01-25 21:56:00,,,10119,112
120,3431,2024-01-26 07:29:00,2024-01-26 09:29:00,,,10120,112
121,1227,2024-01-26 10:14:00,2024-01-26 14:14:00,,,10121,101
122,1742,2024-01-26 15:51:00,2024-01-26 18:51:00,,,10122,101
123,839,2024-01-26 17:23:00,2024-01-26 19:23:00,,,10123,101
124,4538,2024-01-26 18:00:00,2024-01-26 21:00:00,,,10124,110
125,4186,2024-01-26 19:43:00,2024-01-26 20:43:00,,,10125,101
126,4248,2024-01-27 10:12:00,2024-01-27 13:12:00,,,10126,105
127,4675,2024-01-27 13:19:00,2024-01-27 16:19:00,,,10127,101
128,3704,2024-01-27 13:21:00,2024-01-27 16:21:00,,,10128,101
129,789,2024-01-27 13:35:00,2024-01-27 14:35:00,,,10129,105
130,4688,2024-01-27 14:55:00,2024-01-27 15:55:00,,,10130,109
131,3087,2024-01-27 14:57:00,2024-01-27 15:57:00,,,10131,105
132,517,2024-01-27 15:34:00,2024-01-27 18:34:00,,,10132,109
133,3067,2024-01-27 16:14:00,2024-01-27 17:14:00,,,10133,106
134,3643,2024-01-28 07:13:00,2024-01-28 08:13:00,,,10134,110
135,535,2024-01-28 08:11:00,2024-01-28 11:11:00,,,10135,104
136,2363,2024-01-28 15:06:00,2024-01-28 19:06:00,,,10136,108
137,321,2024-01-28 15:09:00,2024-01-28 17:09:00,,,10137,104
138,2948,2024-01-28 18:35:00,2024-01-28 22:00:00,,,10138,104
139,3012,2024-01-28 19:35:00,2024-01-28 22:00:00,,,10139,108
140,160,2024-01-29 08:21:00,2024-01-29 10:21:00,,,10140,107
141,3187,2024-01-29 10:27:00,2024-01-29 11:27:00,,,10141,107
142,4280,2024-01-30 10:15:00,2024-01-30 12:15:00,,,10142,103
143,2494,2024-01-30 12:20:00,2024-01-30 14:20:00,,,10143,102
144,4742,2024-01-31 10:12:00,2024-01-31 11:12:00,,,10144,105
145,3375,2024-01-31 17:46:00,2024-01-31 21:46:00,,,10145,102
146,3183,2024-01-31 19:19:00,2024-01-31 22:00:00,,,10146,112
147,823,2024-02-01 15:29:00,2024-02-01 17:29:00,,,10147,105
148,534,2024-02-01 15:31:00,2024-02-01 17:31:00,,,10148,107
149,3177,2024-02-01 16:20:00,2024-02-01 20:20:00,,,10149,105
150,2602,2024-02-01 16:35:00,2024-02-01 17:35:00,,,10150,102
151,2702,2024-02-01 17:44:00,2024-02-01 20:44:00,,,10151,107
152,2258,2024-02-02 08:09:00,2024-02-02 09:09:00,,,10152,101
153,3215,2024-02-02 11:05:00,2024-02-02 15:05:00,,,10153,111
154,3044,2024-02-02 12:07:00,2024-02-02 14:07:00,,,10154,101
155,3931,2024-02-02 13:40:00,2024-02-02 15:40:00,,,10155,106
156,4452,2024-02-02 14:25:00,2024-02-02 16:25:00,,,10156,111
157,2698,2024-02-03 08:19:00,2024-02-03 10:19:00,,,10157,112
158,4981,2024-02-03 08:38:00,2024-02-03 10:38:00,,,10158,108
159,3716,2024-02-03 10:10:00,2024-02-03 14:10:00,,,10159,112
160,2293,2024-02-03 11:10:00,2024-02-03 13:10:00,,,10160,108
161,305,2024-02-03 13:07:00,2024-02-03 15:07:00,,,10161,112
162,1089,2024-02-03 19:32:00,2024-02-03 22:00:00,,,10162,112
163,1876,2024-02-03 20:36:00,2024-02-03 21:36:00,,,10163,112
164,1557,2024-02-04 09:35:00,2024-02-04 11:35:00,,,10164,105
165,766,2024-02-04 10:02:00,2024-02-04 14:02:00,,,10165,104
166,234,2024-02-04 10:28:00,2024-02-04 11:28:00,,,10166,104
167,2991,2024-02-04 12:21:00,2024-02-04 14:21:00,,,10167,104
168,3842,2024-02-04 14:32:00,2024-02-04 16:32:00,,,10168,112
169,2920,2024-02-04 16:35:00,2024-02-04 18:35:00,,,10169,112
170,2363,2024-02-04 19:30:00,2024-02-04 21:30:00,,,10170,104
171,2591,2024-02-05 09:11:00,2024-02-05 12:11:00,,,10171,103
172,4327,2024-02-05 09:44:00,2024-02-05 10:44:00,,,10172,111
173,4440,2024-02-05 12:32:00,2024-02-05 15:32:00,,,10173,111
174,4698,2024-02-06 12:50:00,2024-02-06 15:50:00,,,10174,109
175,516,2024-02-06 18:34:00,2024-02-06 20:34:00,,,10175,101
176,3655,2024-02-07 17:18:00,2024-02-07 20:18:00,,,10176,102
177,4412,2024-02-07 18:08:00,2024-02-07 20:08:00,,,10177,102
178,4970,2024-02-07 20:05:00,2024-02-07 21:05:00,,,10178,102
179,4601,2024-02-08 08:34:00,2024-02-08 11:34:00,,,10179,103
180,3808,2024-02-08 10:21:00,2024-02-08 12:21:00,,,10180,105
181,955,2024-02-08 15:58:00,2024-02-08 18:58:00,,,10181,108
182,1142,2024-02-08 16:38:00,2024-02-08 17:38:00,,,10182,109
183,16,2024-02-08 19:52:00,2024-02-08 20:52:00,,,10183,109
184,3284,2024-02-09 07:30:00,2024-02-09 09:30:00,,,10184,105
185,4524,2024-02-09 08:28:00,2024-02-09 11:28:00,,,10185,106
186,2373,2024-02-09 15:44:00,2024-02-09 17:44:00,,,10186,105
187,1354,2024-02-09 17:59:00,2024-02-09 20:59:00,,,10187,105
188,4194,2024-02-09 20:13:00,2024-02-09 22:00:00,,,10188,105
189,4817,2024-02-10 09:12:00,2024-02-10 11:12:00,,,10189,104
190,713,2024-02-10 11:46:00,2024-02-10 14:46:00,,,10190,110
191,3269,2024-02-10 11:55:00,2024-02-10 15:55:00,,,10191,104
192,844,2024-02-10 12:02:00,2024-02-10 13:02:00,,,10192,110
193,3612,2024-02-10 15:17:00,2024-02-10 16:17:00,,,10193,106
194,1916,2024-02-10 15:40:00,2024-02-10 19:40:00,,,10194,106
195,1433,2024-02-10 17:23:00,2024-02-10 20:23:00,,,10195,112
196,3495,2024-02-10 18:47:00,2024-02-10 20:47:00,,,10196,104
197,4134,2024-02-11 12:29:00,2024-02-11 13:29:00,,,10197,108
198,3542,2024-02-11 14:23:00,2024-02-11 15:23:00,,,10198,110
199,3193,2024-02-11 15:19:00,2024-02-11 19:19:00,,,10199,106
200,1609,2024-02-11 15:59:00,2024-02-11 17:59:00,,,10200,110
201,274,2024-02-11 16:54:00,2024-02-11 17:54:00,,,10201,110
202,2412,2024-02-11 17:22:00,2024-02-11 20:22:00,,,10202,111
203,3592,2024-02-11 20:31:00,2024-02-11 22:00:00,,,10203,111
204,1085,2024-02-11 20:53:00,2024-02-11 22:00:00,,,10204,106
205,1497,2024-02-12 09:31:00,2024-02-12 11:31:00,,,10205,103
206,3709,2024-02-12 12:43:00,2024-02-12 13:43:00,,,10206,109
207,930,2024-02-12 15:20:00,2024-02-12 18:20:00,,,10207,112
208,2490,2024-02-13 13:44:00,2024-02-13 14:44:00,,,10208,101
209,2461,2024-02-13 14:52:00,2024-02-13 16:52:00,,,10209,101
210,3008,2024-02-14 07:23:00,2024-02-14 09:23:00,,,10210,112
211,2086,2024-02-14 19:31:00,2024-02-14 22:00:00,,,10211,112
212,1148,2024-02-14 20:41:00,2024-02-14 22:00:00,,,10212,107
213,4266,2024-02-15 10:36:00,2024-02-15 14:36:00,,,10213,110
214,3237,2024-02-15 12:49:00,2024-02-15 14:49:00,,,10214,110
215,3608,2024-02-15 19:15:00,2024-02-15 21:15:00,,,10215,108
216,2483,2024-02-16 09:54:00,2024-02-16 11:54:00,,,10216,104
217,2183,2024-02-16 09:55:00,2024-02-16 10:55:00,,,10217,108
218,4239,2024-02-16 13:41:00,2024-02-16 14:41:00,,,10218,109
219,2659,2024-02-16 18:54:00,2024-02-16 21:54:00,,,10219,112
220,3259,2024-02-16 19:01:00,2024-02-16 22:00:00,,,10220,111
221,2816,2024-02-17 07:12:00,2024-02-17 09:12:00,,,10221,106
222,446,2024-02-17 08:31:00,2024-02-17 10:31:00,,,10222,106
223,1615,2024-02-17 09:57:00,2024-02-17 12:57:00,,,10223,107
224,3001,2024-02-17 10:18:00,2024-02-17 13:18:00,,,10224,112
225,1528,2024-02-17 14:26:00,2024-02-17 18:26:00,,,10225,102
226,141,2024-02-17 17:13:00,2024-02-17 20:13:00,,,10226,101
227,4115,2024-02-17 17:25:00,2024-02-17 18:25:00,,,10227,102
228,4421,2024-02-18 07:21:00,2024-02-18 09:21:00,,,10228,102
229,440,2024-02-18 08:33:00,2024-02-18 09:33:00,,,10229,107
230,4345,2024-02-18 10:57:00,2024-02-18 14:57:00,,,10230,101
231,3111,2024-02-18 11:21:00,2024-02-18 14:21:00,,,10231,102
232,4535,2024-02-18 18:08:00,2024-02-18 21:08:00,,,10232,111
233,3542,2024-02-18 20:40:00,2024-02-18 22:00:00,,,10233,104
234,1263,2024-02-19 09:19:00,2024-02-19 10:19:00,,,10234,105
235,4039,2024-02-19 14:50:00,2024-02-19 17:50:00,,,10235,110
236,259,2024-02-20 08:01:00,2024-02-20 11:01:00,,,10236,102
237,2366,2024-02-20 15:22:00,2024-02-20 16:22:00,,,10237,107
238,4745,2024-02-21 13:47:00,2024-02-21 15:47:00,,,10238,107
239,4927,2024-02-21 18:35:00,2024-02-21 22:00:00,,,10239,101
240,741,2024-02-21 19:07:00,2024-02-21 20:07:00,,,10240,102
241,1620,2024-02-22 08:03:00,2024-02-22 09:03:00,,,10241,109
242,1423,2024-02-22 08:19:00,2024-02-22 10:19:00,,,10242,109
243,784,2024-02-22 12:07:00,2024-02-22 13:07:00,,,10243,109
244,1517,2024-02-22 17:37:00,2024-02-22 19:37:00,,,10244,112
245,67,2024-02-22 20:27:00,2024-02-22 22:00:00,,,10245,112
246,3439,2024-02-23 08:38:00,2024-02-23 09:38:00,,,10246,102
247,4797,2024-02-23 08:56:00,2024-02-23 12:56:00,,,10247,101
248,2142,2024-02-23 10:38:00,2024-02-23 11:38:00,,,10248,110
249,4214,2024-02-23 17:52:00,2024-02-23 19:52:00,,,10249,112
250,475,2024-02-23 18:35:00,2024-02-23 20:35:00,,,10250,112
251,3830,2024-02-23 18:53:00,2024-02-23 21:53:00,,,10251,112
252,2071,2024-02-23 20:10:00,2024-02-23 22:00:00,,,10252,111
253,214,2024-02-24 07:12:00,2024-02-24 08:12:00,,,10253,109
254,1922,2024-02-24 07:42:00,2024-02-24 09:42:00,,,10254,107
255,2943,2024-02-24 08:59:00,2024-02-24 12:59:00,,,10255,107
256,1634,2024-02-24 11:46:00,2024-02-24 14:46:00,,,10256,107
257,1660,2024-02-24 13:18:00,2024-02-24 15:18:00,,,10257,109
258,1597,2024-02-24 14:09:00,2024-02-24 15:09:00,,,10258,101
259,2795,2024-02-24 16:46:00,2024-02-24 17:46:00,,,10259,107
260,4114,2024-02-24 19:55:00,2024-02-24 21:55:00,,,10260,101
261,2673,2024-02-25 08:49:00,2024-02-25 10:49:00,,,10261,104
262,4536,2024-02-25 09:08:00,2024-02-25 11:08:00,,,10262,106
263,4460,2024-02-25 10:01:00,2024-02-25 12:01:00,,,10263,101
264,2547,2024-02-25 13:39:00,2024-02-25 14:39:00,,,10264,101
265,494,2024-02-25 17:22:00,2024-02-25 20:22:00,,,10265,105
266,4959,2024-02-25 17:45:00,2024-02-25 18:45:00,,,10266,105
267,3718,2024-02-25 19:01:00,2024-02-25 22:00:00,,,10267,106
268,4690,2024-02-25 19:51:00,2024-02-25 21:51:00,,,10268,105
269,1684,2024-02-26 11:29:00,2024-02-26 13:29:00,,,10269,111
270,3048,2024-02-26 12:28:00,2024-02-26 14:28:00,,,10270,105
271,2418,2024-02-27 07:25:00,2024-02-27 08:25:00,,,10271,104
272,1280,2024-02-27 09:28:00,2024-02-27 11:28:00,,,10272,103
273,3756,2024-02-28 09:18:00,2024-02-28 10:18:00,,,10273,107
274,466,2024-02-28 10:14:00,2024-02-28 12:14:00,,,10274,102
275,3609,2024-02-28 14:04:00,2024-02-28 16:04:00,,,10275,102
276,1572,2024-02-29 11:46:00,2024-02-29 12:46:00,,,10276,103
277,3173,2024-02-29 14:48:00,2024-02-29 18:48:00,,,10277,104
278,3500,2024-02-29 16:43:00,2024-02-29 19:43:00,,,10278,103
279,4512,2024-02-29 17:47:00,2024-02-29 20:47:00,,,10279,104
280,376,2024-03-01 07:11:00,2024-03-01 10:11:00,,,10280,110
281,1827,2024-03-01 07:52:00,2024-03-01 10:52:00,,,10281,110
282,2060,2024-03-01 08:14:00,2024-03-01 10:14:00,,,10282,103
283,3165,2024-03-01 08:47:00,2024-03-01 10:47:00,,,10283,110
284,672,2024-03-01 10:18:00,2024-03-01 13:18:00,,,10284,106
285,2601,2024-03-01 12:11:00,2024-03-01 13:11:00,,,10285,110
286,2693,2024-03-01 13:00:00,2024-03-01 16:00:00,,,10286,106
287,254,2024-03-01 13:20:00,2024-03-01 15:20:00,,,10287,110
288,3176,2024-03-01 14:48:00,2024-03-01 16:48:00,,,10288,106
289,215,2024-03-01 15:37:00,2024-03-01 17:37:00,,,10289,112
290,2840,2024-03-01 17:20:00,2024-03-01 19:20:00,,,10290,101
291,486,2024-03-01 17:43:00,2024-03-01 18:43:00,,,10291,112
292,3199,2024-03-02 07:16:00,2024-03-02 08:16:00,,,10292,106
293,4352,2024-03-02 07:24:00,2024-03-02 08:24:00,,,10293,107
294,881,2024-03-02 08:06:00,2024-03-02 10:06:00,,,10294,107
295,804,2024-03-02 08:12:00,2024-03-02 10:12:00,,,10295,111
296,629,2024-03-02 11:22:00,2024-03-02 13:22:00,,,10296,107
297,3197,2024-03-02 12:02:00,2024-03-02 13:02:00,,,10297,106
298,536,2024-03-02 12:08:00,2024-03-02 13:08:00,,,10298,107
299,74,2024-03-02 13:07:00,2024-03-02 14:07:00,,,10299,111
300,1121,2024-03-02 13:45:00,2024-03-02 15:45:00,,,10300,106
301,3548,2024-03-02 14:59:00,2024-03-02 15:59:00,,,10301,112
302,3217,2024-03-02 15:59:00,2024-03-02 18:59:00,,,10302,111
303,1277,2024-03-02 16:04:00,2024-03-02 19:04:00,,,10303,108
304,124,2024-03-02 16:19:00,2024-03-02 18:19:00,,,10304,108
305,2028,2024-03-02 17:03:00,2024-03-02 20:03:00,,,10305,111
306,1117,2024-03-02 17:44:00,2024-03-02 19:44:00,,,10306,111
307,3504,2024-03-02 17:48:00,2024-03-02 18:48:00,,,10307,112
308,2370,2024-03-02 18:45:00,2024-03-02 21:45:00,,,10308,111
309,885,2024-03-02 18:48:00,2024-03-02 20:48:00,,,10309,112
310,2140,2024-03-02 20:12:00,2024-03-02 22:00:00,,,10310,112
311,2206,2024-03-02 20:38:00,2024-03-02 22:00:00,,,10311,111
312,4300,2024-03-03 07:51:00,2024-03-03 11:51:00,,,10312,107
313,3344,2024-03-03 08:49:00,2024-03-03 09:49:00,,,10313,102
314,4835,2024-03-03 09:03:00,2024-03-03 10:03:00,,,10314,102
315,3871,2024-03-03 09:17:00,2024-03-03 10:17:00,,,10315,102
316,4023,2024-03-03 10:41:00,2024-03-03 13:41:00,,,10316,102
317,2259,2024-03-03 11:07:00,2024-03-03 14:07:00,,,10317,102
318,3205,2024-03-03 13:06:00,2024-03-03 15:06:00,,,10318,107
319,3532,2024-03-03 14:44:00,2024-03-03 16:44:00,,,10319,102
320,2977,2024-03-03 15:33:00,2024-03-03 18:33:00,,,10320,102
321,381,2024-03-03 17:02:00,2024-03-03 18:02:00,,,10321,102
322,923,2024-03-03 17:15:00,2024-03-03 20:15:00,,,10322,108
323,4048,2024-03-03 17:39:00,2024-03-03 21:39:00,,,10323,106
324,605,2024-03-03 18:57:00,2024-03-03 19:57:00,,,10324,106
325,3626,2024-03-03 20:33:00,2024-03-03 22:00:00,,,10325,106
326,1457,2024-03-04 13:57:00,2024-03-04 16:57:00,,,10326,101
327,170,2024-03-04 15:27:00,2024-03-04 19:27:00,,,10327,106
328,2558,2024-03-04 15:29:00,2024-03-04 17:29:00,,,10328,101
329,1369,2024-03-04 19:04:00,2024-03-04 21:04:00,,,10329,101
330,563,2024-03-05 07:00:00,2024-03-05 09:00:00,,,10330,104
331,1532,2024-03-05 07:40:00,2024-03-05 11:40:00,,,10331,111
332,4919,2024-03-05 10:41:00,2024-03-05 12:41:00,,,10332,104
333,3539,2024-03-05 11:25:00,2024-03-05 13:25:00,,,10333,104
334,3892,2024-03-05 13:37:00,2024-03-05 16:37:00,,,10334,104
335,1006,2024-03-06 10:46:00,2024-03-06 13:46:00,,,10335,112
336,2807,2024-03-06 11:17:00,2024-03-06 13:17:00,,,10336,112
337,4008,2024-03-06 12:26:00,2024-03-06 16:26:00,,,10337,103
338,3013,2024-03-06 13:21:00,2024-03-06 16:21:00,,,10338,112
339,3446,2024-03-06 14:57:00,2024-03-06 16:57:00,,,10339,108
340,2677,2024-03-06 15:37:00,2024-03-06 18:37:00,,,10340,102
341,546,2024-03-06 17:30:00,2024-03-06 19:30:00,,,10341,112
342,3324,2024-03-06 19:15:00,2024-03-06 20:15:00,,,10342,112
343,3721,2024-03-07 07:31:00,2024-03-07 09:31:00,,,10343,111
344,2324,2024-03-07 11:53:00,2024-03-07 13:53:00,,,10344,111
345,2257,2024-03-07 11:56:00,2024-03-07 12:56:00,,,10345,105
346,1592,2024-03-07 12:15:00,2024-03-07 15:15:00,,,10346,105
347,4716,2024-03-07 14:16:00,2024-03-07 15:16:00,,,10347,105
348,4644,2024-03-07 15:43:00,2024-03-07 17:43:00,,,10348,107
349,3893,2024-03-07 16:13:00,2024-03-07 19:13:00,,,10349,106
350,2909,2024-03-07 16:37:00,2024-03-07 17:37:00,,,10350,107
351,4814,2024-03-07 18:36:00,2024-03-07 19:36:00,,,10351,105
352,1847,2024-03-07 18:43:00,2024-03-07 20:43:00,,,10352,105
353,1239,2024-03-08 08:19:00,2024-03-08 11:19:00,,,10353,101
354,1000,2024-03-08 08:45:00,2024-03-08 11:45:00,,,10354,104
355,4544,2024-03-08 08:58:00,2024-03-08 11:58:00,,,10355,104
356,1705,2024-03-08 09:09:00,2024-03-08 10:09:00,,,10356,111
357,136,2024-03-08 12:05:00,2024-03-08 13:05:00,,,10357,101
358,903,2024-03-08 12:12:00,2024-03-08 14:12:00,,,10358,111
359,2821,2024-03-08 12:17:00,2024-03-08 14:17:00,,,10359,111
360,1676,2024-03-08 15:54:00,2024-03-08 16:54:00,,,10360,102
361,618,2024-03-08 16:49:00,2024-03-08 17:49:00,,,10361,102
362,1535,2024-03-08 17:40:00,2024-03-08 19:40:00,,,10362,109
363,4671,2024-03-08 18:49:00,2024-03-08 21:49:00,,,10363,109
364,2270,2024-03-09 07:18:00,2024-03-09 09:18:00,,,10364,107
365,4170,2024-03-09 07:19:00,2024-03-09 10:19:00,,,10365,111
366,2323,2024-03-09 09:10:00,2024-03-09 11:10:00,,,10366,111
367,4958,2024-03-09 09:40:00,2024-03-09 10:40:00,,,10367,107
368,3649,2024-03-09 12:38:00,2024-03-09 15:38:00,,,10368,111
