p_id,p_type,p_date,p_amount,p_c_id,p_e_id
10066,Credit Card,2024-01-14 10:19:00,,4304,104
10067,Credit Card,2024-01-14 11:29:00,,2980,108
10068,Credit Card,2024-01-14 12:06:00,,2648,104
10069,Cash,2024-01-14 13:54:00,,3745,106
10070,Credit Card,2024-01-14 20:35:00,,2497,105
10071,Credit Card,2024-01-15 10:21:00,,2781,108
10072,Credit Card,2024-01-15 20:30:00,,3023,102
10073,Cash,2024-01-16 07:22:00,,2356,108
10074,Credit Card,2024-01-16 16:24:00,,4311,107
10075,Credit Card,2024-01-17 09:12:00,,2316,108
10076,Credit Card,2024-01-17 18:46:00,,4127,112
10077,Online,2024-01-17 20:07:00,,2542,112
10078,Credit Card,2024-01-18 07:20:00,,44,101
10079,Credit Card,2024-01-18 11:22:00,,2116,110
10080,Credit Card,2024-01-18 14:50:00,,2475,102
10081,Online,2024-01-18 20:57:00,,3926,109
10082,Online,2024-01-19 07:14:00,,4737,103
10083,Credit Card,2024-01-19 12:11:00,,858,103
10084,Credit Card,2024-01-19 17:54:00,,145,102
10085,Credit Card,2024-01-19 17:58:00,,3748,107
10086,Credit Card,2024-01-19 20:19:00,,294,102
10087,Credit Card,2024-01-19 20:44:00,,1171,107
10088,Credit Card,2024-01-20 07:23:00,,1337,107
10089,Online,2024-01-20 07:44:00,,2835,111
10090,Credit Card,2024-01-20 11:38:00,,3847,109
10091,Cash,2024-01-20 12:46:00,,3121,109
10092,Credit Card,2024-01-20 16:16:00,,3615,111
10093,Credit Card,2024-01-20 16:31:00,,3095,104
10094,Credit Card,2024-01-20 20:32:00,,280,112
10095,Cash,2024-01-20 20:33:00,,4241,104
10096,Credit Card,2024-01-20 20:44:00,,177,111
10097,Credit Card,2024-01-21 07:25:00,,326,104
10098,Credit Card,2024-01-21 09:41:00,,1758,104
10099,Credit Card,2024-01-21 13:39:00,,2581,107
10100,Credit Card,2024-01-21 14:27:00,,2177,105
10101,Credit Card,2024-01-21 16:34:00,,3498,105
10102,Online,2024-01-21 17:12:00,,4038,107
10103,Cash,2024-01-21 18:21:00,,94,105
10104,Credit Card,2024-01-21 20:17:00,,3196,105
10105,Credit Card,2024-01-22 13:32:00,,2636,106
10106,Online,2024-01-22 18:23:00,,3084,112
10107,Credit Card,2024-01-22 18:44:00,,3515,101
10108,Credit Card,2024-01-23 07:16:00,,4368,110
10109,Cash,2024-01-23 11:20:00,,704,106
10110,Credit Card,2024-01-23 12:05:00,,3396,106
10111,Credit Card,2024-01-24 07:35:00,,4243,110
10112,Credit Card,2024-01-24 12:52:00,,1433,110
10113,Credit Card,2024-01-24 15:54:00,,12,103
10114,Credit Card,2024-01-24 16:07:00,,2305,103
10115,Cash,2024-01-25 12:47:00,,2393,109
10116,Credit Card,2024-01-25 18:23:00,,1627,102
10117,Online,2024-01-25 19:13:00,,3046,112
10118,Credit Card,2024-01-25 20:43:00,,4630,112
10119,Credit Card,2024-01-25 20:56:00,,4740,112
10120,Credit Card,2024-01-26 07:29:00,,3431,112
10121,Online,2024-01-26 10:14:00,,1227,101
10122,Credit Card,2024-01-26 15:51:00,,1742,101
10123,Credit Card,2024-01-26 17:23:00,,839,101
10124,Cash,2024-01-26 18:00:00,,4538,110
10125,Credit Card,2024-01-26 19:43:00,,4186,101
10126,Cash,2024-01-27 10:12:00,,4248,105
10127,Credit Card,2024-01-27 13:19:00,,4675,101
10128,Cash,2024-01-27 13:21:00,,3704,101
10129,Cash,2024-01-27 13:35:00,,789,105
10130,Credit Card,2024-01-27 14:55:00,,4688,109
10131,Credit Card,2024-01-27 14:57:00,,3087,105
10132,Credit Card,2024-01-27 15:34:00,,517,109
10133,Credit Card,2024-01-27 16:14:00,,3067,106
10134,Credit Card,2024-01-28 07:13:00,,3643,110
10135,Credit Card,2024-01-28 08:11:00,,535,104
10136,Cash,2024-01-28 15:06:00,,2363,108
10137,Credit Card,2024-01-28 15:09:00,,321,104
10138,Credit Card,2024-01-28 18:35:00,,2948,104
10139,Credit Card,2024-01-28 19:35:00,,3012,108
10140,Credit Card,2024-01-29 08:21:00,,160,107
10141,Credit Card,2024-01-29 10:27:00,,3187,107
10142,Credit Card,2024-01-30 10:15:00,,4280,103
10143,Online,2024-01-30 12:20:00,,2494,102
10144,Online,2024-01-31 10:12:00,,4742,105
10145,Credit Card,2024-01-31 17:46:00,,3375,102
10146,Credit Card,2024-01-31 19:19:00,,3183,112
10147,Online,2024-02-01 15:29:00,,823,105
10148,Online,2024-02-01 15:31:00,,534,107
10149,Credit Card,2024-02-01 16:20:00,,3177,105
10150,Credit Card,2024-02-01 16:35:00,,2602,102
10151,Credit Card,2024-02-01 17:44:00,,2702,107
10152,Credit Card,2024-02-02 08:09:00,,2258,101
10153,Credit Card,2024-02-02 11:05:00,,3215,111
10154,Credit Card,2024-02-02 12:07:00,,3044,101
10155,Credit Card,2024-02-02 13:40:00,,3931,106
10156,Credit Card,2024-02-02 14:25:00,,4452,111
10157,Credit Card,2024-02-03 08:19:00,,2698,112
10158,Credit Card,2024-02-03 08:38:00,,4981,108
10159,Credit Card,2024-02-03 10:10:00,,3716,112
10160,Credit Card,2024-02-03 11:10:00,,2293,108
10161,Cash,2024-02-03 13:07:00,,305,112
10162,Credit Card,2024-02-03 19:32:00,,1089,112
10163,Credit Card,2024-02-03 20:36:00,,1876,112
10164,Cash,2024-02-04 09:35:00,,1557,105
10165,Credit Card,2024-02-04 10:02:00,,766,104
10166,Credit Card,2024-02-04 10:28:00,,234,104
10167,Credit Card,2024-02-04 12:21:00,,2991,104
10168,Credit Card,2024-02-04 14:32:00,,3842,112
10169,Cash,2024-02-04 16:35:00,,2920,112
10170,Credit Card,2024-02-04 19:30:00,,2363,104
10171,Cash,2024-02-05 09:11:00,,2591,103
10172,Cash,2024-02-05 09:44:00,,4327,111
10173,Credit Card,2024-02-05 12:32:00,,4440,111
10174,Credit Card,2024-02-06 12:50:00,,4698,109
10175,Credit Card,2024-02-06 18:34:00,,516,101
10176,Credit Card,2024-02-07 17:18:00,,3655,102
10177,Cash,2024-02-07 18:08:00,,4412,102
10178,Credit Card,2024-02-07 20:05:00,,4970,102
10179,Credit Card,2024-02-08 08:34:00,,4601,103
10180,Credit Card,2024-02-08 10:21:00,,3808,105
10181,Credit Card,2024-02-08 15:58:00,,955,108
10182,Credit Card,2024-02-08 16:38:00,,1142,109
10183,Credit Card,2024-02-08 19:52:00,,16,109
10184,Credit Card,2024-02-09 07:30:00,,3284,105
10185,Online,2024-02-09 08:28:00,,4524,106
10186,Credit Card,2024-02-09 15:44:00,,2373,105
10187,Credit Card,2024-02-09 17:59:00,,1354,105
10188,Credit Card,2024-02-09 20:13:00,,4194,105
10189,Cash,2024-02-10 09:12:00,,4817,104
10190,Credit Card,2024-02-10 11:46:00,,713,110
10191,Credit Card,2024-02-10 11:55:00,,3269,104
10192,Online,2024-02-10 12:02:00,,844,110
10193,Credit Card,2024-02-10 15:17:00,,3612,106
10194,Credit Card,2024-02-10 15:40:00,,1916,106
10195,Credit Card,2024-02-10 17:23:00,,1433,112
10196,Cash,2024-02-10 18:47:00,,3495,104
10197,Credit Card,2024-02-11 12:29:00,,4134,108
10198,Cash,2024-02-11 14:23:00,,3542,110
10199,Credit Card,2024-02-11 15:19:00,,3193,106
10200,Credit Card,2024-02-11 15:59:00,,1609,110
10201,Credit Card,2024-02-11 16:54:00,,274,110
10202,Credit Card,2024-02-11 17:22:00,,2412,111
10203,Cash,2024-02-11 20:31:00,,3592,111
10204,Credit Card,2024-02-11 20:53:00,,1085,106
10205,Credit Card,2024-02-12 09:31:00,,1497,103
10206,Credit Card,2024-02-12 12:43:00,,3709,109
10207,Cash,2024-02-12 15:20:00,,930,112
10208,Credit Card,2024-02-13 13:44:00,,2490,101
10209,Credit Card,2024-02-13 14:52:00,,2461,101
10210,Credit Card,2024-02-14 07:23:00,,3008,112
10211,Credit Card,2024-02-14 19:31:00,,2086,112
10212,Credit Card,2024-02-14 20:41:00,,1148,107
10213,Credit Card,2024-02-15 10:36:00,,4266,110
10214,Credit Card,2024-02-15 12:49:00,,3237,110
10215,Credit Card,2024-02-15 19:15:00,,3608,108
10216,Credit Card,2024-02-16 09:54:00,,2483,104
10217,Credit Card,2024-02-16 09:55:00,,2183,108
10218,Cash,2024-02-16 13:41:00,,4239,109
10219,Credit Card,2024-02-16 18:54:00,,2659,112
10220,Credit Card,2024-02-16 19:01:00,,3259,111
10221,Credit Card,2024-02-17 07:12:00,,2816,106
10222,Credit Card,2024-02-17 08:31:00,,446,106
10223,Credit Card,2024-02-17 09:57:00,,1615,107
10224,Credit Card,2024-02-17 10:18:00,,3001,112
10225,Online,2024-02-17 14:26:00,,1528,102
10226,Credit Card,2024-02-17 17:13:00,,141,101
10227,Cash,2024-02-17 17:25:00,,4115,102
10228,Credit Card,2024-02-18 07:21:00,,4421,102
10229,Credit Card,2024-02-18 08:33:00,,440,107
10230,Credit Card,2024-02-18 10:57:00,,4345,101
10231,Credit Card,2024-02-18 11:21:00,,3111,102
10232,Online,2024-02-18 18:08:00,,4535,111
10233,Credit Card,2024-02-18 20:40:00,,3542,104
10234,Cash,2024-02-19 09:19:00,,1263,105
10235,Credit Card,2024-02-19 14:50:00,,4039,110
10236,Credit Card,2024-02-20 08:01:00,,259,102
10237,Credit Card,2024-02-20 15:22:00,,2366,107
10238,Cash,2024-02-21 13:47:00,,4745,107
10239,Credit Card,2024-02-21 18:35:00,,4927,101
10240,Credit Card,2024-02-21 19:07:00,,741,102
10241,Credit Card,2024-02-22 08:03:00,,1620,109
10242,Credit Card,2024-02-22 08:19:00,,1423,109
10243,Credit Card,2024-02-22 12:07:00,,784,109
10244,Credit Card,2024-02-22 17:37:00,,1517,112
10245,Cash,2024-02-22 20:27:00,,67,112
10246,Credit Card,2024-02-23 08:38:00,,3439,102
10247,Cash,2024-02-23 08:56:00,,4797,101
10248,Credit Card,2024-02-23 10:38:00,,2142,110
10249,Cash,2024-02-23 17:52:00,,4214,112
10250,Credit Card,2024-02-23 18:35:00,,475,112
10251,Online,2024-02-23 18:53:00,,3830,112
10252,Cash,2024-02-23 20:10:00,,2071,111
10253,Online,2024-02-24 07:12:00,,214,109
10254,Credit Card,2024-02-24 07:42:00,,1922,107
10255,Credit Card,2024-02-24 08:59:00,,2943,107
10256,Credit Card,2024-02-24 11:46:00,,1634,107
10257,Credit Card,2024-02-24 13:18:00,,1660,109
10258,Online,2024-02-24 14:09:00,,1597,101
10259,Cash,2024-02-24 16:46:00,,2795,107
10260,Online,2024-02-24 19:55:00,,4114,101
10261,Cash,2024-02-25 08:49:00,,2673,104
10262,Cash,2024-02-25 09:08:00,,4536,106
10263,Online,2024-02-25 10:01:00,,4460,101
10264,Credit Card,2024-02-25 13:39:00,,2547,101
10265,Credit Card,2024-02-25 17:22:00,,494,105
10266,Online,2024-02-25 17:45:00,,4959,105
10267,Credit Card,2024-02-25 19:01:00,,3718,106
10268,Credit Card,2024-02-25 19:51:00,,4690,105
10269,Online,2024-02-26 11:29:00,,1684,111
10270,Credit Card,2024-02-26 12:28:00,,3048,105
10271,Online,2024-02-27 07:25:00,,2418,104
10272,Credit Card,2024-02-27 09:28:00,,1280,103
10273,Credit Card,2024-02-28 09:18:00,,3756,107
10274,Credit Card,2024-02-28 10:14:00,,466,102
10275,Credit Card,2024-02-28 14:04:00,,3609,102
10276,Credit Card,2024-02-29 11:46:00,,1572,103
10277,Credit Card,2024-02-29 14:48:00,,3173,104
10278,Online,2024-02-29 16:43:00,,3500,103
10279,Credit Card,2024-02-29 17:47:00,,4512,104
10280,Credit Card,2024-03-01 07:11:00,,376,110
10281,Credit Card,2024-03-01 07:52:00,,1827,110
10282,Credit Card,2024-03-01 08:14:00,,2060,103
10283,Credit Card,2024-03-01 08:47:00,,3165,110
10284,Online,2024-03-01 10:18:00,,672,106
10285,Credit Card,2024-03-01 12:11:00,,2601,110
10286,Credit Card,2024-03-01 13:00:00,,2693,106
10287,Online,2024-03-01 13:20:00,,254,110
10288,Online,2024-03-01 14:48:00,,3176,106
10289,Credit Card,2024-03-01 15:37:00,,215,112
10290,Credit Card,2024-03-01 17:20:00,,2840,101
10291,Credit Card,2024-03-01 17:43:00,,486,112
10292,Online,2024-03-02 07:16:00,,3199,106
10293,Cash,2024-03-02 07:24:00,,4352,107
10294,Credit Card,2024-03-02 08:06:00,,881,107
10295,Credit Card,2024-03-02 08:12:00,,804,111
10296,Online,2024-03-02 11:22:00,,629,107
10297,Cash,2024-03-02 12:02:00,,3197,106
10298,Credit Card,2024-03-02 12:08:00,,536,107
10299,Online,2024-03-02 13:07:00,,74,111
10300,Credit Card,2024-03-02 13:45:00,,1121,106
10301,Credit Card,2024-03-02 14:59:00,,3548,112
10302,Online,2024-03-02 15:59:00,,3217,111
10303,Credit Card,2024-03-02 16:04:00,,1277,108
10304,Online,2024-03-02 16:19:00,,124,108
10305,Credit Card,2024-03-02 17:03:00,,2028,111
10306,Credit Card,2024-03-02 17:44:00,,1117,111
10307,Cash,2024-03-02 17:48:00,,3504,112
10308,Credit Card,2024-03-02 18:45:00,,2370,111
10309,Credit Card,2024-03-02 18:48:00,,885,112
10310,Credit Card,2024-03-02 20:12:00,,2140,112
10311,Credit Card,2024-03-02 20:38:00,,2206,111
10312,Credit Card,2024-03-03 07:51:00,,4300,107
10313,Credit Card,2024-03-03 08:49:00,,3344,102
10314,Credit Card,2024-03-03 09:03:00,,4835,102
10315,Credit Card,2024-03-03 09:17:00,,3871,102
10316,Credit Card,2024-03-03 10:41:00,,4023,102
10317,Online,2024-03-03 11:07:00,,2259,102
10318,Cash,2024-03-03 13:06:00,,3205,107
10319,Credit Card,2024-03-03 14:44:00,,3532,102
10320,Credit Card,2024-03-03 15:33:00,,2977,102
10321,Credit Card,2024-03-03 17:02:00,,381,102
10322,Credit Card,2024-03-03 17:15:00,,923,108
10323,Online,2024-03-03 17:39:00,,4048,106
10324,Cash,2024-03-03 18:57:00,,605,106
10325,Credit Card,2024-03-03 20:33:00,,3626,106
10326,Credit Card,2024-03-04 13:57:00,,1457,101
10327,Credit Card,2024-03-04 15:27:00,,170,106
10328,Credit Card,2024-03-04 15:29:00,,2558,101
10329,Cash,2024-03-04 19:04:00,,1369,101
10330,Cash,2024-03-05 07:00:00,,563,104
10331,Credit Card,2024-03-05 07:40:00,,1532,111
10332,Credit Card,2024-03-05 10:41:00,,4919,104
10333,Credit Card,2024-03-05 11:25:00,,3539,104
10334,Credit Card,2024-03-05 13:37:00,,3892,104
10335,Credit Card,2024-03-06 10:46:00,,1006,112
10336,Credit Card,2024-03-06 11:17:00,,2807,112
10337,Online,2024-03-06 12:26:00,,4008,103
10338,Credit Card,2024-03-06 13:21:00,,3013,112
10339,Credit Card,2024-03-06 14:57:00,,3446,108
10340,Credit Card,2024-03-06 15:37:00,,2677,102
10341,Credit Card,2024-03-06 17:30:00,,546,112
10342,Credit Card,2024-03-06 19:15:00,,3324,112
10343,Credit Card,2024-03-07 07:31:00,,3721,111
10344,Credit Card,2024-03-07 11:53:00,,2324,111
10345,Credit Card,2024-03-07 11:56:00,,2257,105
10346,Credit Card,2024-03-07 12:15:00,,1592,105
10347,Credit Card,2024-03-07 14:16:00,,4716,105
10348,Online,2024-03-07 15:43:00,,4644,107
10349,Credit Card,2024-03-07 16:13:00,,3893,106
10350,Cash,2024-03-07 16:37:00,,2909,107
10351,Credit Card,2024-03-07 18:36:00,,4814,105
10352,Cash,2024-03-07 18:43:00,,1847,105
10353,Credit Card,2024-03-08 08:19:00,,1239,101
10354,Cash,2024-03-08 08:45:00,,1000,104
10355,Credit Card,2024-03-08 08:58:00,,4544,104
10356,Credit Card,2024-03-08 09:09:00,,1705,111
10357,Credit Card,2024-03-08 12:05:00,,136,101
10358,Cash,2024-03-08 12:12:00,,903,111
10359,Online,2024-03-08 12:17:00,,2821,111
10360,Credit Card,2024-03-08 15:54:00,,1676,102
10361,Credit Card,2024-03-08 16:49:00,,618,102
10362,Credit Card,2024-03-08 17:40:00,,1535,109
10363,Credit Card,2024-03-08 18:49:00,,4671,109
10364,Cash,2024-03-09 07:18:00,,2270,107
10365,Credit Card,2024-03-09 07:19:00,,4170,111
10366,Cash,2024-03-09 09:10:00,,2323,111
10367,Credit Card,2024-03-09 09:40:00,,4958,107
10368,Credit Card,2024-03-09 12:38:00,,3649,111
10369,Cash,2024-03-09 13:24:00,,4486,107
10370,Credit Card,2024-03-09 13:36:00,,1843,111
10371,Credit Card,2024-03-09 14:13:00,,775,108
10372,Credit Card,2024-03-09 14:27:00,,143,111
10373,Credit Card,2024-03-09 15:01:00,,883,110
10374,Credit Card,2024-03-09 15:12:00,,1982,111
10375,Credit Card,2024-03-09 16:00:00,,1725,110
10376,Credit Card,2024-03-09 16:38:00,,2224,108
10377,Credit Card,2024-03-09 17:18:00,,2660,111
10378,Cash,2024-03-09 18:48:00,,4482,111
10379,Cash,2024-03-10 07:09:00,,86,107
10380,Credit Card,2024-03-10 08:04:00,,134,102
10381,Credit Card,2024-03-10 08:15:00,,4982,107
10382,Credit Card,2024-03-10 08:50:00,,4031,107
10383,Credit Card,2024-03-10 10:11:00,,325,103
10384,Credit Card,2024-03-10 11:14:00,,314,102
10385,Credit Card,2024-03-10 11:29:00,,1416,107
10386,Credit Card,2024-03-10 11:34:00,,3791,107
10387,Credit Card,2024-03-10 18:11:00,,1574,108
10388,Credit Card,2024-03-10 18:53:00,,4984,109
10389,Credit Card,2024-03-10 19:20:00,,4115,108
10390,Credit Card,2024-03-10 19:42:00,,1574,108
10391,Credit Card,2024-03-10 19:51:00,,4541,103
10392,Cash,2024-03-11 12:47:00,,1214,104
10393,Cash,2024-03-11 14:33:00,,4750,108
10394,Credit Card,2024-03-11 17:28:00,,2686,107
10395,Online,2024-03-11 17:29:00,,4610,110
10396,Credit Card,2024-03-12 07:58:00,,4108,104
10397,Credit Card,2024-03-12 10:22:00,,982,112
10398,Online,2024-03-12 12:16:00,,260,105
10399,Credit Card,2024-03-12 12:37:00,,948,104
10400,Credit Card,2024-03-12 16:10:00,,2312,101
10401,Cash,2024-03-13 08:17:00,,2023,108
10402,Credit Card,2024-03-13 08:31:00,,3025,112
10403,Credit Card,2024-03-13 09:11:00,,657,112
10404,Credit Card,2024-03-13 09:34:00,,1547,112
10405,Credit Card,2024-03-13 14:08:00,,1088,109
10406,Credit Card,2024-03-13 18:47:00,,560,105
10407,Cash,2024-03-13 20:00:00,,3032,109
10408,Cash,2024-03-14 09:35:00,,1367,110
10409,Cash,2024-03-14 11:31:00,,2671,108
10410,Cash,2024-03-14 12:55:00,,2670,104
10411,Credit Card,2024-03-14 15:38:00,,75,107
10412,Online,2024-03-14 16:08:00,,4339,107
10413,Credit Card,2024-03-14 16:51:00,,3315,108
10414,Online,2024-03-14 18:08:00,,1042,112
10415,Online,2024-03-14 19:33:00,,4031,112
10416,Credit Card,2024-03-15 07:24:00,,70,107
10417,Credit Card,2024-03-15 08:54:00,,1616,107
10418,Credit Card,2024-03-15 09:42:00,,4917,107
10419,Credit Card,2024-03-15 10:51:00,,340,108
10420,Credit Card,2024-03-15 11:18:00,,3753,107
10421,Credit Card,2024-03-15 13:50:00,,2926,110
10422,Credit Card,2024-03-15 16:18:00,,4052,111
10423,Credit Card,2024-03-15 20:03:00,,2696,105
10424,Credit Card,2024-03-15 20:27:00,,1333,105
10425,Credit Card,2024-03-15 20:28:00,,3472,105
10426,Cash,2024-03-16 07:54:00,,270,106
10427,Cash,2024-03-16 09:39:00,,241,112
10428,Credit Card,2024-03-16 10:33:00,,250,106
10429,Credit Card,2024-03-16 11:16:00,,2963,106
10430,Credit Card,2024-03-16 12:01:00,,1806,112
10431,Credit Card,2024-03-16 12:02:00,,3306,112
10432,Credit Card,2024-03-16 12:31:00,,2583,106
10433,Online,2024-03-16 13:26:00,,2876,108
10434,Online,2024-03-16 14:13:00,,4666,102
10435,Credit Card,2024-03-16 14:46:00,,1346,101
10436,Cash,2024-03-16 15:18:00,,970,112
10437,Online,2024-03-16 16:42:00,,2765,112
10438,Credit Card,2024-03-16 16:49:00,,662,112
10439,Credit Card,2024-03-16 17:03:00,,2425,102
10440,Credit Card,2024-03-16 17:05:00,,3491,112
10441,Credit Card,2024-03-17 07:34:00,,268,104
10442,Credit Card,2024-03-17 08:09:00,,3108,111
10443,Cash,2024-03-17 08:39:00,,196,104
10444,Credit Card,2024-03-17 09:08:00,,17,111
10445,Credit Card,2024-03-17 10:03:00,,4055,104
10446,Credit Card,2024-03-17 11:00:00,,2725,111
10447,Credit Card,2024-03-17 11:40:00,,2903,104
10448,Credit Card,2024-03-17 11:55:00,,4230,111
10449,Credit Card,2024-03-17 12:56:00,,732,111
10450,Credit Card,2024-03-17 13:19:00,,3968,111
10451,Credit Card,2024-03-17 14:45:00,,2087,104
10452,Credit Card,2024-03-17 17:47:00,,3935,105
10453,Online,2024-03-17 18:21:00,,2669,105
10454,Credit Card,2024-03-17 18:46:00,,4476,103
10455,Credit Card,2024-03-17 20:07:00,,23,104
10456,Credit Card,2024-03-17 20:43:00,,788,105
10457,Credit Card,2024-03-18 07:51:00,,1814,104
10458,Credit Card,2024-03-18 11:44:00,,4763,104
10459,Credit Card,2024-03-18 12:50:00,,294,107
10460,Credit Card,2024-03-18 13:37:00,,4540,109
10461,Credit Card,2024-03-18 13:55:00,,781,104
10462,Credit Card,2024-03-18 16:46:00,,4975,107
10463,Credit Card,2024-03-19 10:08:00,,2491,102
10464,Cash,2024-03-19 12:09:00,,2094,104
10465,Credit Card,2024-03-19 12:56:00,,4264,106
10466,Online,2024-03-19 20:09:00,,2062,101
10467,Cash,2024-03-20 07:26:00,,4216,101
10468,Credit Card,2024-03-20 08:14:00,,1631,105
10469,Online,2024-03-20 10:42:00,,1235,105
10470,Credit Card,2024-03-20 12:36:00,,368,101
10471,Credit Card,2024-03-20 18:10:00,,1655,104
10472,Credit Card,2024-03-20 19:38:00,,2788,101
10473,Online,2024-03-20 20:48:00,,777,104
10474,Credit Card,2024-03-21 07:01:00,,3869,111
10475,Credit Card,2024-03-21 08:09:00,,459,102
10476,Cash,2024-03-21 08:27:00,,3514,101
10477,Credit Card,2024-03-21 08:49:00,,4609,102
10478,Credit Card,2024-03-21 13:23:00,,2546,102
10479,Credit Card,2024-03-21 13:42:00,,205,101
10480,Credit Card,2024-03-21 15:09:00,,677,102
10481,Credit Card,2024-03-21 17:51:00,,964,102
10482,Credit Card,2024-03-21 18:07:00,,311,104
10483,Cash,2024-03-21 19:44:00,,3889,104
10484,Credit Card,2024-03-22 07:10:00,,401,102
10485,Credit Card,2024-03-22 07:58:00,,2583,109
10486,Cash,2024-03-22 09:44:00,,3405,109
10487,Credit Card,2024-03-22 09:46:00,,2300,103
10488,Cash,2024-03-22 11:52:00,,2631,102
10489,Credit Card,2024-03-22 12:23:00,,2062,102
10490,Credit Card,2024-03-22 14:36:00,,2335,109
10491,Credit Card,2024-03-22 14:59:00,,1882,109
10492,Credit Card,2024-03-22 15:03:00,,1290,110
10493,Credit Card,2024-03-22 16:25:00,,1612,101
10494,Cash,2024-03-22 17:56:00,,1893,109
10495,Credit Card,2024-03-22 18:22:00,,2711,110
10496,Credit Card,2024-03-23 07:17:00,,4248,106
10497,Cash,2024-03-23 07:52:00,,1484,110
10498,Cash,2024-03-23 08:41:00,,853,106
10499,Credit Card,2024-03-23 09:55:00,,1098,110
10500,Credit Card,2024-03-23 10:04:00,,4382,106
10501,Credit Card,2024-03-23 10:19:00,,2482,110
10502,Credit Card,2024-03-23 10:38:00,,1018,110
10503,Credit Card,2024-03-23 11:46:00,,4211,110
10504,Credit Card,2024-03-23 12:17:00,,4730,106
10505,Credit Card,2024-03-23 12:59:00,,4902,106
10506,Credit Card,2024-03-23 13:23:00,,4999,110
10507,Credit Card,2024-03-23 14:25:00,,1535,105
10508,Credit Card,2024-03-23 14:43:00,,675,105
10509,Credit Card,2024-03-23 16:03:00,,2353,105
10510,Credit Card,2024-03-23 17:58:00,,3056,102
10511,Credit Card,2024-03-23 18:05:00,,1858,105
10512,Online,2024-03-23 19:52:00,,2265,102
10513,Credit Card,2024-03-23 20:21:00,,3429,110
