m_id,m_bike_id,m_start_date,m_end_date,m_type
107,217,2024-04-01,2024-04-01,Handlebar Adjustment
108,302,2024-04-02,2024-04-02,Brake Adjustment
109,601,2024-04-05,2024-04-05,Tire/Tube
110,413,2024-04-05,2024-04-05,Brake Adjustment
111,414,2024-04-06,2024-04-06,Brake Adjustment
112,413,2024-04-06,2024-04-06,Tire/Tube
113,117,2024-04-06,2024-04-06,Tire/Tube
114,118,2024-04-06,2024-04-06,Chain Lubrication
115,402,2024-04-06,2024-04-06,Brake Adjustment
116,505,2024-04-07,2024-04-07,Tire/Tube
117,503,2024-04-07,2024-04-07,Tire/Tube
118,101,2024-04-07,2024-04-07,Tire/Tube
119,601,2024-04-07,2024-04-08,Derailleur Tune-up
120,402,2024-04-08,2024-04-08,Tire/Tube
121,515,2024-04-08,2024-04-08,Tire/Tube
122,307,2024-04-08,2024-04-08,Tire/Tube
123,509,2024-04-08,2024-04-08,Tire/Tube
124,216,2024-04-08,2024-04-08,Handlebar Adjustment
125,123,2024-04-09,2024-04-09,Chain Lubrication
126,116,2024-04-09,2024-04-09,Tire/Tube
127,124,2024-04-09,2024-04-09,Brake Adjustment
128,115,2024-04-11,2024-04-11,Tire/Tube
129,407,2024-04-11,2024-04-11,Brake Adjustment
130,128,2024-04-12,2024-04-12,Tire/Tube
131,514,2024-04-13,2024-04-13,Tire/Tube
132,217,2024-04-13,2024-04-13,Chain Lubrication
133,413,2024-04-13,2024-04-13,Tire/Tube
134,503,2024-04-13,2024-04-13,Brake Adjustment
135,212,2024-04-14,2024-04-14,Handlebar Adjustment
136,112,2024-04-14,2024-04-14,Chain Lubrication
137,203,2024-04-14,2024-04-14,Chain Lubrication
138,102,2024-04-14,2024-04-14,General Inspection
139,117,2024-04-14,2024-04-14,Chain Lubrication
140,118,2024-04-14,2024-04-14,Chain Lubrication
141,503,2024-04-15,2024-04-15,Timing Chain Check
142,219,2024-04-15,2024-04-15,Tire/Tube
143,116,2024-04-15,2024-04-15,Tire/Tube
144,110,2024-04-16,2024-04-16,General Inspection
145,126,2024-04-16,2024-04-16,General Inspection
146,408,2024-04-17,2024-04-17,Tire/Tube
147,217,2024-04-18,2024-04-18,Tire/Tube
148,314,2024-04-18,2024-04-18,Brake Adjustment
149,309,2024-04-19,2024-04-19,Tire/Tube
150,103,2024-04-19,2024-04-19,General Inspection
151,315,2024-04-21,2024-04-21,Motor Check
152,514,2024-04-21,2024-04-21,Tire/Tube
153,217,2024-04-22,2024-04-22,Chain Lubrication
154,213,2024-04-22,2024-04-22,Tire/Tube
155,313,2024-04-22,2024-04-22,Tire/Tube
156,504,2024-04-23,2024-04-23,Tire/Tube
157,130,2024-04-23,2024-04-23,General Inspection
158,105,2024-04-23,2024-04-23,Tire/Tube
159,122,2024-04-25,2024-04-25,Brake Adjustment
160,302,2024-04-25,2024-04-25,Motor Check
161,508,2024-04-25,2024-04-25,Timing Chain Check
162,104,2024-04-26,2024-04-26,Tire/Tube
163,304,2024-04-26,2024-04-26,Motor Check
164,114,2024-04-26,2024-04-26,General Inspection
165,604,2024-04-27,2024-04-27,Tire/Tube
166,106,2024-04-27,2024-04-27,Chain Lubrication
167,412,2024-04-27,2024-04-28,Derailleur Tune-up
168,412,2024-04-28,2024-04-28,Tire/Tube
169,116,2024-04-28,2024-04-28,General Inspection
170,301,2024-04-28,2024-04-28,Brake Adjustment
171,105,2024-04-28,2024-04-28,Tire/Tube
172,504,2024-04-28,2024-04-28,Tire/Tube
173,314,2024-04-28,2024-04-28,Motor Check
174,514,2024-04-28,2024-04-28,Brake Adjustment
175,209,2024-04-29,2024-04-29,Handlebar Adjustment
176,603,2024-04-29,2024-04-30,Frame Inspection
177,111,2024-04-30,2024-04-30,General Inspection
178,208,2024-04-30,2024-04-30,Handlebar Adjustment
179,120,2024-05-01,2024-05-01,Chain Lubrication
180,105,2024-05-01,2024-05-01,General Inspection
181,119,2024-05-01,2024-05-01,Tire/Tube
182,308,2024-05-02,2024-05-02,Brake Adjustment
183,305,2024-05-02,2024-05-02,Tire/Tube
184,505,2024-05-02,2024-05-02,Tire/Tube
185,210,2024-05-03,2024-05-03,Chain Lubrication
186,109,2024-05-04,2024-05-04,Tire/Tube
187,211,2024-05-04,2024-05-04,Chain Lubrication
188,108,2024-05-05,2024-05-05,Brake Adjustment
189,505,2024-05-05,2024-05-05,Tire/Tube
190,503,2024-05-05,2024-05-05,Tire/Tube
191,120,2024-05-05,2024-05-05,General Inspection
192,127,2024-05-06,2024-05-06,General Inspection
193,114,2024-05-06,2024-05-06,Brake Adjustment
194,314,2024-05-06,2024-05-06,Tire/Tube
195,513,2024-05-06,2024-05-06,Tire/Tube
196,102,2024-05-06,2024-05-06,Brake Adjustment
197,413,2024-05-06,2024-05-06,Tire/Tube
198,129,2024-05-06,2024-05-06,Chain Lubrication
199,201,2024-05-07,2024-05-07,Handlebar Adjustment
200,107,2024-05-07,2024-05-07,Chain Lubrication
201,117,2024-05-08,2024-05-08,Chain Lubrication
202,513,2024-05-10,2024-05-10,Timing Chain Check
203,313,2024-05-10,2024-05-11,Battery Service
204,605,2024-05-10,2024-05-11,Frame Inspection
205,116,2024-05-10,2024-05-10,General Inspection
206,506,2024-05-11,2024-05-11,Tire/Tube
207,603,2024-05-11,2024-05-12,Derailleur Tune-up
208,301,2024-05-11,2024-05-11,Motor Check
209,124,2024-05-11,2024-05-11,Tire/Tube
210,604,2024-05-11,2024-05-11,Tire/Tube
211,503,2024-05-12,2024-05-12,Brake Adjustment
212,410,2024-05-12,2024-05-13,Derailleur Tune-up
213,210,2024-05-12,2024-05-12,Chain Lubrication
214,307,2024-05-12,2024-05-12,Tire/Tube
215,122,2024-05-13,2024-05-13,Tire/Tube
216,501,2024-05-13,2024-05-13,Timing Chain Check
217,307,2024-05-13,2024-05-13,Tire/Tube
218,402,2024-05-13,2024-05-14,Derailleur Tune-up
219,125,2024-05-13,2024-05-13,Chain Lubrication
220,405,2024-05-13,2024-05-13,Tire/Tube
221,127,2024-05-15,2024-05-15,Brake Adjustment
222,304,2024-05-15,2024-05-15,Motor Check
223,308,2024-05-16,2024-05-16,Motor Check
224,406,2024-05-17,2024-05-17,Tire/Tube
225,216,2024-05-17,2024-05-17,Tire/Tube
226,103,2024-05-17,2024-05-17,Chain Lubrication
227,207,2024-05-18,2024-05-18,Tire/Tube
228,107,2024-05-18,2024-05-18,Brake Adjustment
229,406,2024-05-18,2024-05-18,Brake Adjustment
230,312,2024-05-18,2024-05-18,Brake Adjustment
231,214,2024-05-18,2024-05-18,Tire/Tube
232,215,2024-05-19,2024-05-19,Handlebar Adjustment
233,402,2024-05-19,2024-05-19,Tire/Tube
234,513,2024-05-19,2024-05-19,Tire/Tube
235,107,2024-05-19,2024-05-19,Brake Adjustment
236,403,2024-05-19,2024-05-20,Derailleur Tune-up
237,208,2024-05-19,2024-05-19,Chain Lubrication
238,214,2024-05-20,2024-05-20,Tire/Tube
239,502,2024-05-20,2024-05-20,Timing Chain Check
240,501,2024-05-20,2024-05-20,Tire/Tube
241,504,2024-05-20,2024-05-20,Timing Chain Check
242,206,2024-05-20,2024-05-20,Handlebar Adjustment
243,110,2024-05-22,2024-05-22,Brake Adjustment
244,124,2024-05-22,2024-05-22,General Inspection
245,411,2024-05-23,2024-05-24,Derailleur Tune-up
246,504,2024-05-23,2024-05-23,Timing Chain Check
247,407,2024-05-23,2024-05-23,Brake Adjustment
248,210,2024-05-24,2024-05-24,Handlebar Adjustment
249,305,2024-05-25,2024-05-25,Tire/Tube
250,102,2024-05-25,2024-05-25,General Inspection
251,123,2024-05-25,2024-05-25,Tire/Tube
252,217,2024-05-25,2024-05-25,Handlebar Adjustment
253,501,2024-05-25,2024-05-25,Tire/Tube
254,407,2024-05-25,2024-05-25,Brake Adjustment
255,305,2024-05-26,2024-05-26,Motor Check
256,218,2024-05-26,2024-05-26,Tire/Tube
257,603,2024-05-26,2024-05-27,Derailleur Tune-up
258,508,2024-05-26,2024-05-26,Brake Adjustment
259,406,2024-05-26,2024-05-26,Tire/Tube
260,122,2024-05-27,2024-05-27,General Inspection
261,122,2024-05-27,2024-05-27,Tire/Tube
262,303,2024-05-27,2024-05-27,Motor Check
263,307,2024-05-27,2024-05-28,Battery Service
264,302,2024-05-27,2024-05-27,Tire/Tube
265,402,2024-05-29,2024-05-30,Derailleur Tune-up
266,510,2024-05-30,2024-05-30,Brake Adjustment
267,211,2024-05-30,2024-05-30,Chain Lubrication
268,103,2024-05-30,2024-05-30,General Inspection
269,409,2024-05-30,2024-05-30,Brake Adjustment
270,309,2024-05-31,2024-05-31,Brake Adjustment
271,504,2024-05-31,2024-05-31,Tire/Tube
272,218,2024-05-31,2024-05-31,Handlebar Adjustment
273,502,2024-05-31,2024-05-31,Timing Chain Check
274,603,2024-05-31,2024-06-01,Frame Inspection
275,509,2024-06-01,2024-06-01,Brake Adjustment
276,111,2024-06-01,2024-06-01,Chain Lubrication
277,207,2024-06-01,2024-06-01,Handlebar Adjustment
278,605,2024-06-02,2024-06-02,Tire/Tube
279,412,2024-06-02,2024-06-02,Tire/Tube
280,123,2024-06-02,2024-06-02,Chain Lubrication
281,106,2024-06-02,2024-06-02,Tire/Tube
282,217,2024-06-03,2024-06-03,Handlebar Adjustment
283,402,2024-06-03,2024-06-03,Tire/Tube
284,101,2024-06-03,2024-06-03,Chain Lubrication
285,310,2024-06-05,2024-06-06,Battery Service
286,220,2024-06-05,2024-06-05,Tire/Tube
287,217,2024-06-06,2024-06-06,Handlebar Adjustment
288,207,2024-06-06,2024-06-06,Handlebar Adjustment
289,308,2024-06-06,2024-06-06,Tire/Tube
290,401,2024-06-06,2024-06-06,Brake Adjustment
291,403,2024-06-07,2024-06-08,Derailleur Tune-up
292,314,2024-06-08,2024-06-09,Battery Service
293,217,2024-06-08,2024-06-08,Tire/Tube
294,513,2024-06-08,2024-06-08,Tire/Tube
295,112,2024-06-08,2024-06-08,Chain Lubrication
296,107,2024-06-08,2024-06-08,General Inspection
297,513,2024-06-08,2024-06-08,Brake Adjustment
298,212,2024-06-08,2024-06-08,Chain Lubrication
299,124,2024-06-09,2024-06-09,General Inspection
300,410,2024-06-09,2024-06-09,Tire/Tube
301,115,2024-06-09,2024-06-09,Tire/Tube
302,216,2024-06-09,2024-06-09,Chain Lubrication
303,408,2024-06-09,2024-06-09,Brake Adjustment
304,201,2024-06-09,2024-06-09,Chain Lubrication
305,106,2024-06-10,2024-06-10,Brake Adjustment
306,212,2024-06-10,2024-06-10,Handlebar Adjustment
307,502,2024-06-10,2024-06-10,Brake Adjustment
308,108,2024-06-10,2024-06-10,Tire/Tube
309,602,2024-06-10,2024-06-11,Derailleur Tune-up
310,117,2024-06-10,2024-06-10,Tire/Tube
311,512,2024-06-10,2024-06-10,Tire/Tube
312,120,2024-06-10,2024-06-10,Chain Lubrication
313,121,2024-06-10,2024-06-10,Chain Lubrication
314,310,2024-06-10,2024-06-10,Tire/Tube
315,401,2024-06-10,2024-06-11,Derailleur Tune-up
316,512,2024-06-10,2024-06-10,Tire/Tube
317,218,2024-06-11,2024-06-11,Tire/Tube
318,114,2024-06-11,2024-06-11,Tire/Tube
319,111,2024-06-12,2024-06-12,Tire/Tube
320,504,2024-06-12,2024-06-12,Timing Chain Check
321,214,2024-06-12,2024-06-12,Handlebar Adjustment
322,514,2024-06-13,2024-06-13,Brake Adjustment
323,205,2024-06-13,2024-06-13,Chain Lubrication
324,508,2024-06-13,2024-06-13,Tire/Tube
325,119,2024-06-14,2024-06-14,General Inspection
326,121,2024-06-14,2024-06-14,Tire/Tube
327,118,2024-06-15,2024-06-15,Chain Lubrication
328,209,2024-06-15,2024-06-15,Handlebar Adjustment
329,207,2024-06-15,2024-06-15,Chain Lubrication
330,407,2024-06-15,2024-06-15,Tire/Tube
331,315,2024-06-16,2024-06-16,Motor Check
332,307,2024-06-16,2024-06-17,Battery Service
333,114,2024-06-16,2024-06-16,General Inspection
334,405,2024-06-17,2024-06-18,Derailleur Tune-up
335,311,2024-06-17,2024-06-17,Brake Adjustment
336,511,2024-06-17,2024-06-17,Brake Adjustment
337,414,2024-06-18,2024-06-18,Brake Adjustment
338,306,2024-06-18,2024-06-18,Tire/Tube
339,202,2024-06-18,2024-06-18,Handlebar Adjustment
340,408,2024-06-18,2024-06-18,Tire/Tube
341,124,2024-06-18,2024-06-18,Tire/Tube
342,405,2024-06-20,2024-06-21,Derailleur Tune-up
343,512,2024-06-20,2024-06-20,Timing Chain Check
344,212,2024-06-20,2024-06-20,Handlebar Adjustment
345,302,2024-06-20,2024-06-20,Tire/Tube
346,314,2024-06-21,2024-06-22,Battery Service
347,114,2024-06-21,2024-06-21,Tire/Tube
348,122,2024-06-21,2024-06-21,Brake Adjustment
349,313,2024-06-21,2024-06-21,Brake Adjustment
350,121,2024-06-21,2024-06-21,Brake Adjustment
351,110,2024-06-22,2024-06-22,General Inspection
352,310,2024-06-22,2024-06-22,Motor Check
353,124,2024-06-22,2024-06-22,General Inspection
354,501,2024-06-22,2024-06-22,Tire/Tube
355,121,2024-06-22,2024-06-22,General Inspection
356,204,2024-06-23,2024-06-23,Handlebar Adjustment
357,129,2024-06-23,2024-06-23,Tire/Tube
358,202,2024-06-23,2024-06-23,Tire/Tube
359,509,2024-06-23,2024-06-23,Tire/Tube
360,115,2024-06-23,2024-06-23,Tire/Tube
361,604,2024-06-23,2024-06-24,Derailleur Tune-up
362,124,2024-06-24,2024-06-24,Chain Lubrication
363,306,2024-06-24,2024-06-24,Motor Check
364,407,2024-06-24,2024-06-25,Derailleur Tune-up
365,308,2024-06-24,2024-06-25,Battery Service
366,403,2024-06-24,2024-06-24,Tire/Tube
367,306,2024-06-24,2024-06-25,Battery Service
368,117,2024-06-25,2024-06-25,General Inspection
369,219,2024-06-25,2024-06-25,Tire/Tube
370,119,2024-06-26,2024-06-26,General Inspection
371,120,2024-06-26,2024-06-26,General Inspection
372,509,2024-06-27,2024-06-27,Tire/Tube
373,118,2024-06-27,2024-06-27,Tire/Tube
374,106,2024-06-28,2024-06-28,General Inspection
375,120,2024-06-29,2024-06-29,Chain Lubrication
376,218,2024-06-29,2024-06-29,Handlebar Adjustment
377,101,2024-06-29,2024-06-29,Brake Adjustment
378,103,2024-06-29,2024-06-29,Chain Lubrication
379,603,2024-06-29,2024-06-30,Frame Inspection
380,413,2024-06-29,2024-06-29,Tire/Tube
381,603,2024-06-29,2024-06-29,Tire/Tube
382,219,2024-06-30,2024-06-30,Handlebar Adjustment
383,315,2024-06-30,2024-06-30,Tire/Tube
384,128,2024-06-30,2024-06-30,General Inspection
385,406,2024-06-30,2024-06-30,Brake Adjustment
386,411,2024-06-30,2024-07-01,Derailleur Tune-up
387,512,2024-06-30,2024-06-30,Timing Chain Check
388,212,2024-06-30,2024-06-30,Tire/Tube
389,202,2024-06-30,2024-06-30,Tire/Tube
390,515,2024-06-30,2024-06-30,Brake Adjustment
391,124,2024-07-01,2024-07-01,Brake Adjustment
392,107,2024-07-01,2024-07-01,Brake Adjustment
393,505,2024-07-01,2024-07-01,Brake Adjustment
394,206,2024-07-01,2024-07-01,Chain Lubrication
395,204,2024-07-01,2024-07-01,Tire/Tube
396,202,2024-07-01,2024-07-01,Chain Lubrication
397,121,2024-07-01,2024-07-01,Chain Lubrication
398,211,2024-07-02,2024-07-02,Chain Lubrication
399,307,2024-07-03,2024-07-04,Battery Service
400,407,2024-07-04,2024-07-04,Tire/Tube
401,203,2024-07-04,2024-07-04,Chain Lubrication
402,122,2024-07-04,2024-07-04,General Inspection
403,103,2024-07-04,2024-07-04,Chain Lubrication
404,219,2024-07-05,2024-07-05,Tire/Tube
405,110,2024-07-05,2024-07-05,General Inspection
406,129,2024-07-05,2024-07-05,General Inspection
407,308,2024-07-05,2024-07-06,Battery Service
408,128,2024-07-05,2024-07-05,General Inspection
409,205,2024-07-06,2024-07-06,Chain Lubrication
410,115,2024-07-06,2024-07-06,Chain Lubrication
411,111,2024-07-06,2024-07-06,Tire/Tube
412,414,2024-07-06,2024-07-07,Derailleur Tune-up
413,304,2024-07-06,2024-07-06,Brake Adjustment
414,308,2024-07-07,2024-07-08,Battery Service
415,604,2024-07-07,2024-07-08,Frame Inspection
416,507,2024-07-07,2024-07-07,Timing Chain Check
417,220,2024-07-07,2024-07-07,Handlebar Adjustment
418,411,2024-07-07,2024-07-07,Brake Adjustment
419,206,2024-07-08,2024-07-08,Tire/Tube
420,502,2024-07-08,2024-07-08,Timing Chain Check
421,110,2024-07-08,2024-07-08,Brake Adjustment
422,504,2024-07-08,2024-07-08,Brake Adjustment
423,111,2024-07-08,2024-07-08,Chain Lubrication
424,504,2024-07-08,2024-07-08,Timing Chain Check
425,111,2024-07-08,2024-07-08,Tire/Tube
426,108,2024-07-08,2024-07-08,General Inspection
427,118,2024-07-08,2024-07-08,General Inspection
428,105,2024-07-09,2024-07-09,Brake Adjustment
429,130,2024-07-10,2024-07-10,Brake Adjustment
430,415,2024-07-10,2024-07-10,Tire/Tube
431,116,2024-07-11,2024-07-11,Chain Lubrication
432,411,2024-07-11,2024-07-11,Tire/Tube
433,511,2024-07-12,2024-07-12,Tire/Tube
434,514,2024-07-12,2024-07-12,Tire/Tube
435,126,2024-07-12,2024-07-12,Tire/Tube
436,128,2024-07-12,2024-07-12,Tire/Tube
437,114,2024-07-13,2024-07-13,General Inspection
438,401,2024-07-13,2024-07-13,Tire/Tube
439,117,2024-07-13,2024-07-13,Brake Adjustment
440,114,2024-07-13,2024-07-13,General Inspection
441,315,2024-07-14,2024-07-15,Battery Service
442,414,2024-07-14,2024-07-14,Tire/Tube
443,112,2024-07-14,2024-07-14,Tire/Tube
444,206,2024-07-14,2024-07-14,Chain Lubrication
445,601,2024-07-15,2024-07-16,Frame Inspection
446,408,2024-07-15,2024-07-15,Brake Adjustment
447,130,2024-07-15,2024-07-15,Brake Adjustment
448,114,2024-07-15,2024-07-15,Chain Lubrication
449,119,2024-07-15,2024-07-15,Brake Adjustment
450,307,2024-07-15,2024-07-15,Tire/Tube
451,127,2024-07-15,2024-07-15,General Inspection
452,505,2024-07-16,2024-07-16,Timing Chain Check
453,101,2024-07-17,2024-07-17,Chain Lubrication
454,504,2024-07-17,2024-07-17,Timing Chain Check
455,509,2024-07-18,2024-07-18,Tire/Tube
456,415,2024-07-18,2024-07-18,Tire/Tube
457,402,2024-07-18,2024-07-18,Brake Adjustment
458,604,2024-07-19,2024-07-19,Tire/Tube
459,301,2024-07-19,2024-07-20,Battery Service
460,604,2024-07-19,2024-07-20,Frame Inspection
461,217,2024-07-20,2024-07-20,Handlebar Adjustment
462,405,2024-07-20,2024-07-20,Brake Adjustment
463,114,2024-07-20,2024-07-20,Chain Lubrication
464,212,2024-07-20,2024-07-20,Handlebar Adjustment
465,206,2024-07-20,2024-07-20,Chain Lubrication
466,217,2024-07-20,2024-07-20,Tire/Tube
467,128,2024-07-20,2024-07-20,Brake Adjustment
468,205,2024-07-21,2024-07-21,Tire/Tube
469,215,2024-07-21,2024-07-21,Handlebar Adjustment
470,513,2024-07-21,2024-07-21,Brake Adjustment
471,313,2024-07-21,2024-07-21,Brake Adjustment
472,509,2024-07-21,2024-07-21,Brake Adjustment
473,214,2024-07-21,2024-07-21,Tire/Tube
474,126,2024-07-21,2024-07-21,General Inspection
475,118,2024-07-22,2024-07-22,Brake Adjustment
476,120,2024-07-22,2024-07-22,Tire/Tube
477,307,2024-07-22,2024-07-22,Brake Adjustment
478,213,2024-07-22,2024-07-22,Tire/Tube
479,127,2024-07-23,2024-07-23,Chain Lubrication
480,307,2024-07-23,2024-07-23,Brake Adjustment
481,205,2024-07-23,2024-07-23,Tire/Tube
482,217,2024-07-23,2024-07-23,Tire/Tube
483,415,2024-07-25,2024-07-26,Derailleur Tune-up
484,315,2024-07-25,2024-07-25,Tire/Tube
485,309,2024-07-26,2024-07-26,Motor Check
486,605,2024-07-26,2024-07-26,Tire/Tube
487,509,2024-07-26,2024-07-26,Tire/Tube
488,102,2024-07-26,2024-07-26,Tire/Tube
489,102,2024-07-26,2024-07-26,General Inspection
490,130,2024-07-26,2024-07-26,Brake Adjustment
491,502,2024-07-27,2024-07-27,Brake Adjustment
492,211,2024-07-27,2024-07-27,Tire/Tube
493,602,2024-07-27,2024-07-28,Derailleur Tune-up
494,122,2024-07-27,2024-07-27,Tire/Tube
495,404,2024-07-27,2024-07-28,Derailleur Tune-up
496,102,2024-07-28,2024-07-28,Tire/Tube
497,510,2024-07-28,2024-07-28,Brake Adjustment
498,117,2024-07-28,2024-07-28,Brake Adjustment
499,101,2024-07-28,2024-07-28,Tire/Tube
500,604,2024-07-28,2024-07-29,Frame Inspection
501,217,2024-07-28,2024-07-28,Handlebar Adjustment
502,407,2024-07-28,2024-07-28,Tire/Tube
503,128,2024-07-28,2024-07-28,General Inspection
504,116,2024-07-29,2024-07-29,General Inspection
505,509,2024-07-29,2024-07-29,Brake Adjustment
506,409,2024-07-29,2024-07-29,Brake Adjustment
507,124,2024-07-29,2024-07-29,General Inspection
508,124,2024-07-29,2024-07-29,Tire/Tube
509,315,2024-07-30,2024-07-30,Tire/Tube
510,124,2024-07-31,2024-07-31,Chain Lubrication
511,515,2024-07-31,2024-07-31,Tire/Tube
512,123,2024-08-01,2024-08-01,General Inspection
513,505,2024-08-02,2024-08-02,Timing Chain Check
514,104,2024-08-02,2024-08-02,Tire/Tube
515,213,2024-08-02,2024-08-02,Handlebar Adjustment
516,218,2024-08-02,2024-08-02,Tire/Tube
517,127,2024-08-02,2024-08-02,Brake Adjustment
518,407,2024-08-02,2024-08-03,Derailleur Tune-up
519,204,2024-08-03,2024-08-03,Chain Lubrication
520,208,2024-08-03,2024-08-03,Chain Lubrication
521,203,2024-08-03,2024-08-03,Handlebar Adjustment
522,217,2024-08-03,2024-08-03,Handlebar Adjustment
523,206,2024-08-03,2024-08-03,Tire/Tube
524,512,2024-08-04,2024-08-04,Timing Chain Check
525,127,2024-08-04,2024-08-04,General Inspection
526,118,2024-08-04,2024-08-04,Chain Lubrication
527,411,2024-08-04,2024-08-05,Derailleur Tune-up
528,305,2024-08-04,2024-08-04,Motor Check
