r_id,b_id
289,411
289,129
290,208
291,218
292,312
293,101
293,601
293,204
294,303
295,220
295,112
295,308
295,602
295,214
296,127
297,303
297,115
298,122
299,310
299,407
300,216
300,125
301,211
302,510
303,101
304,104
304,122
305,304
305,506
306,103
306,311
306,107
307,220
307,211
307,406
308,104
309,130
309,312
309,603
310,202
311,212
312,407
312,217
313,411
314,514
314,508
315,401
316,305
317,117
317,214
317,409
318,110
319,119
320,511
321,109
322,512
323,508
324,116
324,505
324,214
325,507
326,111
327,512
328,112
329,315
330,117
331,126
332,605
332,401
332,215
333,511
333,128
334,308
334,315
334,314
335,118
335,122
336,103
337,315
338,127
339,501
339,110
339,412
339,505
340,128
341,402
342,209
342,508
343,311
344,205
345,113
346,207
347,111
347,310
347,210
347,119
348,307
349,506
349,409
349,128
350,215
351,123
352,124
353,406
354,206
354,128
354,220
355,514
356,304
357,512
358,115
359,406
359,106
359,313
360,106
361,306
361,402
362,410
363,109
363,123
364,512
364,120
364,212
365,309
366,502
367,129
368,125
368,310
368,312
369,411
370,303
371,127
371,301
372,511
372,404
372,122
373,108
374,217
375,113
375,602
375,309
376,509
376,412
377,115
377,125
377,210
377,103
378,515
378,401
379,403
380,504
381,515
381,308
382,105
382,216
383,402
383,218
384,126
385,514
386,414
386,415
386,219
387,109
388,305
389,122
389,206
389,220
390,408
391,314
392,404
392,306
393,314
394,207
395,314
396,122
397,312
398,604
399,312
399,411
400,211
400,501
401,512
401,506
402,125
402,219
402,124
402,501
402,217
403,404
403,401
403,601
404,129
405,212
406,409
406,122
407,502
407,128
408,603
409,209
409,129
410,508
410,603
411,405
411,204
411,104
412,217
412,401
412,215
413,210
414,310
415,117
415,602
416,124
417,601
417,405
418,113
418,309
418,211
419,205
419,207
420,306
421,511
422,307
423,129
423,109
424,508
425,106
426,130
427,506
427,102
428,508
429,104
430,209
430,102
430,408
431,219
432,409
432,128
432,303
433,202
434,120
435,201
435,511
435,110
436,208
436,402
436,111
436,115
437,509
438,315
439,203
440,313
440,309
440,308
441,115
441,214
441,409
441,215
442,311
443,415
443,503
444,515
444,207
445,102
445,105
446,510
447,604
448,115
449,115
450,410
450,117
450,219
450,413
451,130
451,604
451,305
452,128
453,213
453,206
453,601
454,605
455,108
455,129
456,313
457,415
457,208
458,214
459,510
460,308
461,213
462,203
462,301
463,107
463,120
463,117
464,314
465,121
466,510
467,218
468,506
469,506
470,511
470,605
471,216
471,603
471,411
472,105
473,311
474,507
474,119
474,407
474,410
475,305
476,111
476,214
477,208
478,125
478,507
479,508
479,604
480,315
480,122
481,111
482,109
482,311
483,121
483,603
484,305
484,106
485,104
486,415
486,309
486,604
487,315
487,313
487,412
487,214
488,116
489,308
490,106
491,302
492,215
493,210
494,403
495,115
496,515
496,605
497,119
498,503
498,128
498,306
499,510
500,415
501,315
502,220
502,213
502,109
503,102
504,207
504,509
504,103
505,409
506,505
507,414
508,311
509,403
510,503
511,602
512,603
513,125
513,110
514,105
515,411
516,402
516,106
517,310
518,201
519,113
519,408
519,504
520,213
521,112
522,409
523,401
523,203
524,120
525,502
526,511
527,105
527,408
528,103
529,117
529,401
530,215
531,113
532,306
532,512
533,120
533,503
534,410
535,116
536,307
536,203
536,412
537,504
538,310
538,108
539,117
539,113
539,409
539,412
540,402
540,501
541,411
542,507
542,123
542,213
543,305
544,105
545,502
546,313
546,103
547,504
548,124
549,213
550,313
551,110
551,513
551,406
552,129
552,203
552,113
553,414
554,509
554,507
555,605
555,413
556,117
557,315
558,109
559,407
560,313
560,216
560,308
561,303
561,411
561,508
561,414
562,212
563,605
564,104
565,208
566,601
566,206
567,106
567,209
568,111
568,509
569,511
569,506
570,413
571,102
571,209
571,218
571,101
572,119
573,307
574,110
575,407
576,409
577,215
578,111
579,130
579,502
580,601
581,105
582,210
582,603
583,217
584,603
585,311
585,122
585,510
586,107
586,202
586,101
587,407
588,202
589,303
590,111
590,212
590,106
591,117
591,214
592,128
592,107
593,105
594,411
595,412
596,216
597,217
598,111
599,212
600,303
601,302
601,502
602,217
602,602
603,310
604,304
604,204
604,214
605,506
606,306
607,408
607,507
608,406
609,214
609,216
610,120
611,213
612,123
613,129
613,411
614,401
615,126
615,119
616,407
617,208
618,120
618,314
619,307
619,210
620,106
621,415
622,126
622,509
623,219
623,105
624,130
624,128
625,306
625,107
626,407
627,213
627,504
627,507
628,117
628,312
628,122
629,601
630,411
631,124
632,406
632,211
633,129
634,410
635,511
636,208
637,119
638,413
638,402
639,509
640,414
640,220
641,503
642,213
643,109
644,413
645,204
646,503
647,311
647,114
648,117
648,402
649,203
650,118
650,412
650,301
651,311
652,402
652,101
652,211
653,304
653,103
653,301
654,309
655,401
655,601
655,207
655,305
656,117
656,312
657,308
658,204
659,109
660,202
661,308
661,129
661,125
661,603
662,514
663,217
663,403
664,101
664,515
665,408
666,117
666,414
666,220
666,412
667,103
668,315
669,118
670,503
670,121
670,405
671,201
672,402
673,505
674,410
675,603
676,307
677,511
677,603
677,212
678,209
678,307
679,113
680,409
680,309
680,602
681,205
681,407
682,123
683,218
683,129
683,404
683,220
684,415
684,402
685,405
686,403
687,113
687,515
687,512
688,506
688,404
688,307
688,121
689,128
690,210
691,112
692,120
692,114
693,116
693,208
694,513
695,505
696,207
697,509
698,216
699,413
700,308
700,508
701,129
702,209
703,110
703,127
704,201
704,515
705,101
706,206
706,407
706,311
706,211
707,301
708,216
708,502
709,123
710,116
710,412
710,202
711,303
711,124
712,302
712,514
712,408
712,118
713,506
714,511
714,104
715,302
715,214
716,128
716,309
716,507
717,202
718,507
718,208
718,115
719,513
719,604
720,603
721,407
721,109
722,118
722,122
723,218
724,308
725,203
726,205
727,103
727,119
727,128
728,126
728,510
728,107
729,217
729,311
730,110
731,503
731,514
732,213
732,220
733,404
734,411
735,309
735,506
736,503
736,308
736,408
736,202
737,507
738,503
739,503
740,130
740,215
740,401
741,413
742,414
743,217
744,407
744,507
745,129
746,404
747,103
748,128
749,411
750,109
750,104
750,313
751,513
752,409
752,217
752,101
753,408
754,209
755,219
755,514
755,302
755,121
756,507
757,309
758,314
759,212
760,406
760,414
761,126
762,108
762,403
762,502
763,106
764,102
764,311
765,405
766,212
767,408
768,128
769,301
770,515
770,112
771,404
771,203
771,102
772,212
772,512
772,403
773,120
774,117
775,409
776,410
777,310
778,117
779,110
779,113
779,411
780,127
780,404
780,105
781,315
782,120
782,217
782,402
783,115
783,506
783,403
784,118
784,113
784,510
785,604
786,513
786,503
786,309
787,504
788,603
788,409
789,505
790,302
791,604
792,303
792,120
793,213
794,307
794,511
794,208
794,315
795,406
795,209
795,219
795,210
796,305
797,412
798,508
798,118
798,507
799,117
799,116
799,214
800,109
800,220
801,104
801,410
801,405
802,203
803,511
803,202
804,129
805,404
805,510
806,403
807,512
807,312
808,124
809,217
810,130
811,107
812,603
813,604
814,110
815,412
816,124
817,126
817,130
818,501
819,205
819,405
819,407
819,209
820,308
820,407
821,507
821,208
822,305
823,408
823,406
823,503
824,515
824,407
825,602
825,213
826,107
827,314
827,309
828,507
829,406
830,204
831,306
832,106
833,503
833,315
834,605
835,212
836,203
836,217
837,125
837,314
838,218
838,117
838,112
839,315
840,107
841,220
841,603
842,117
843,120
844,503
845,312
846,414
847,310
847,118
847,403
847,407
848,214
848,206
849,309
850,105
851,103
852,208
852,214
852,414
853,216
853,217
854,503
855,405
855,121
855,307
855,509
856,303
857,106
857,203
857,601
858,307
859,212
859,123
860,209
861,410
861,106
862,116
862,506
862,508
863,215
863,510
864,125
864,308
865,123
866,111
867,206
867,305
868,101
869,105
870,114
871,509
872,413
873,306
873,219
873,204
874,213
875,202
876,411
876,503
877,109
878,510
879,111
880,130
880,302
881,603
882,120
883,407
884,602
884,211
885,409
885,202
886,314
887,315
887,414
888,117
889,410
890,514
891,409
892,310
893,104
893,113
894,505
894,314
895,509
896,410
897,203
897,504
897,315
898,301
898,509
898,217
899,601
899,110
899,129
900,207
900,114
901,220
901,408
901,213
902,302
903,128
904,605
905,413
905,124
906,115
907,201
907,109
908,506
908,315
908,219
909,511
910,304
911,514
912,118
913,605
913,208
913,413
914,404
915,507
916,303
917,411
917,124
918,313
918,509
919,212
919,508
920,415
920,312
921,504
922,302
922,603
922,401
922,108
923,404
924,106
925,130
926,501
926,310
927,105
928,507
929,206
930,311
931,103
931,315
932,205
932,309
933,314
934,214
934,507
935,408
935,505
936,405
936,208
937,126
938,605
939,505
940,220
941,514
941,212
942,219
942,508
942,129
942,202
942,210
943,112
944,126
944,302
945,121
945,511
946,114
947,122
947,412
948,104
948,201
949,415
949,128
949,211
950,213
950,308
950,401
951,604
951,122
951,407
952,103
952,409
953,512
954,310
954,508
955,107
955,122
955,208
956,304
957,114
958,121
959,104
959,503
960,604
961,605
962,205
963,515
964,125
965,106
966,305
967,124
967,303
968,412
969,120
970,502
971,117
972,412
972,215
972,401
973,114
973,508
974,509
974,504
975,510
975,120
975,211
976,412
976,308
977,213
977,510
978,507
979,122
979,116
980,406
981,315
981,102
982,314
983,402
984,302
985,220
986,401
986,301
987,309
988,105
989,313
989,214
990,503
991,217
992,504
993,109
993,314
994,204
994,401
995,503
996,605
997,107
998,305
999,514
999,124
1000,304
1000,217
1001,603
1002,207
1003,219
1003,117
1003,215
1003,401
1004,315
1004,506
1005,212
1006,401
1007,408
1008,602
1008,205
1008,217
1009,128
1010,513
1011,208
1011,102
1012,201
1012,504
1012,604
1013,125
1014,303
1015,307
1016,220
1016,413
1016,111
1017,305
1018,209
1018,605
1018,602
1019,508
1019,216
1020,124
1020,315
1020,301
1021,301
1022,303
1022,101
1023,111
1024,203
1024,215
1025,511
1026,315
1027,208
1027,205
1027,311
1028,413
1028,408
1029,120
1029,118
1030,123
1031,212
1031,514
1031,105
1032,108
1033,210
1034,213
1034,119
1034,129
1035,108
1035,126
1036,211
1036,403
1036,413
1037,502
1038,308
1039,109
1040,118
1041,411
1042,214
1042,303
1042,305
1043,407
1044,121
1044,108
1044,502
1045,302
1045,311
1046,103
1046,303
1046,123
1046,415
1047,405
1048,211
1048,213
1049,505
1050,115
1051,101
1051,128
1051,301
1051,506
1052,104
1053,511
1053,501
1054,307
1055,108
1055,605
1056,312
1057,301
1058,302
1058,304
1059,501
1059,111
1059,508
1059,105
1060,209
1060,220
1060,401
1061,312
1062,303
1062,108
1063,215
1063,111
1064,305
1064,208
1065,210
1065,410
1065,118
1066,402
1067,410
1067,208
1068,112
1069,502
1070,115
1070,117
1071,404
1072,220
1073,125
1074,403
1075,109
1076,220
1077,218
1078,219
1078,304
1079,104
1080,509
1081,403
1082,603
1083,210
1084,204
1085,406
1086,211
1086,201
1087,515
1088,314
1089,311
1089,601
1090,413
1091,218
1092,308
1092,403
1093,205
1094,115
1095,210
1096,503
1097,502
1098,108
1099,501
1100,216
1101,126
1102,510
1103,123
1104,115
1105,315
1105,120
1106,602
1107,410
1108,309
1108,505
1108,112
1109,314
1110,113
1111,219
1111,109
1112,125
1113,101
1114,127
1115,312
1116,110
1116,209
1116,513
1117,206
1117,207
1117,202
1118,116
1119,126
1119,114
1119,101
1120,314
1121,117
1121,407
1122,220
1122,603
1123,304
1123,513
1124,109
1124,116
1125,314
1125,512
1125,511
1126,410
1126,127
1127,408
1128,124
1128,413
1129,313
1130,219
1131,114
1131,216
1132,102
1133,108
1134,105
1134,401
1134,210
1134,413
1135,119
1136,129
1136,212
1137,113
1137,206
1137,203
1138,303
1139,211
1139,314
1139,107
1140,201
1141,120
1141,403
1142,213
1143,402
1143,304
1143,204
1144,407
1145,414
1145,202
1145,409
1146,104
1146,512
1147,213
1147,514
1148,118
1148,506
1149,117
1150,501
1151,409
1151,106
1152,217
1152,302
1152,601
1152,403
1152,214
1153,213
1153,120
1154,402
1154,104
1155,202
1156,125
1157,208
1158,312
1158,306
1158,301
1159,505
1160,503
1161,116
1161,108
1161,301
1162,111
1163,312
1164,401
1164,513
1164,509
1165,506
1166,116
1166,110
1166,509
1167,315
1168,605
1169,412
1170,313
1170,513
1171,410
1171,510
1172,129
1173,217
1174,103
1175,409
1176,303
1177,114
1178,203
1178,115
1178,108
1179,303
1180,409
1180,506
1181,204
1182,124
1183,109
1183,216
1184,214
1184,601
1185,603
1186,106
1186,204
1187,404
1187,219
1187,127
1188,301
1189,130
1189,125
1190,509
1191,108
1191,511
1191,413
1191,502
1192,209
1193,307
1194,107
1194,124
1195,312
1196,129
1196,103
1196,411
1197,126
1197,314
1197,212
1198,214
1198,604
1199,206
1199,315
1199,503
1200,124
1201,220
1201,401
1201,120
1202,506
1202,507
1203,219
1204,103
1204,402
1204,119
1205,216
1206,113
1206,118
1206,104
1207,124
1208,115
1209,217
1210,410
1211,313
1211,312
1212,113
1212,208
1213,605
1214,403
1214,305
1215,405
1215,213
1216,407
1217,409
1218,214
1218,109
1218,602
1219,502
1220,303
1221,313
1222,310
1223,129
1224,410
1225,208
1225,210
1225,403
1226,128
1226,307
1226,501
1226,309
1227,121
1227,115
1228,219
1228,116
1229,205
1230,407
1231,315
1231,507
1231,211
1232,306
1233,125
1234,102
1235,402
1235,506
1235,107
1236,313
1236,405
1236,515
1237,202
1237,305
1238,104
1239,207
1240,404
1241,411
1241,601
1241,108
1242,201
1242,312
1242,406
1243,313
1243,108
1244,113
1245,309
1246,206
1247,125
1247,408
1248,515
1249,211
1249,129
1250,112
1250,307
1250,402
1251,412
1251,120
1251,501
1251,506
1252,301
1253,509
1253,311
1253,304
1254,401
1255,303
1256,403
1257,107
1257,123
1258,208
1258,122
1258,119
1259,209
1259,413
1259,105
1260,205
1261,602
1262,129
1263,123
1264,511
1264,408
1264,503
1265,105
1266,106
1266,128
1266,103
1267,205
1267,105
1267,408
1267,119
1268,125
1268,414
1269,125
1270,209
1271,210
1271,504
1272,117
1272,208
1273,413
1273,219
1273,510
1274,128
1275,312
1275,413
1275,117
1276,126
1277,123
1277,302
1278,310
1278,124
1278,127
1278,118
1278,509
1279,211
1279,514
1280,304
1280,308
1281,203
1282,219
1282,412
1283,405
1283,501
1284,506
1285,402
1286,502
1286,115
1287,113
1287,508
1288,129
1289,313
1289,125
1290,120
1290,510
1291,203
1292,514
1293,208
1293,212
1294,308
1295,216
1296,312
1297,406
1297,403
1298,216
1299,119
1300,126
1300,128
1300,212
1301,114
1301,405
1302,217
1302,122
1302,107
1303,306
1304,113
1304,103
1305,120
1306,301
1307,204
1308,312
1308,411
1308,208
1309,401
1310,502
1311,604
1312,214
1313,510
1313,217
1313,311
1314,202
1314,218
1315,401
1316,301
1317,211
1318,410
1318,303
1319,107
1319,505
1320,203
1320,123
1320,406
1321,312
1321,217
1321,129
1322,403
1323,515
1324,414
1324,403
1325,415
1325,102
1326,204
1326,207
1327,214
1327,408
1327,120
1328,314
1329,311
1329,505
1330,204
1331,415
1332,118
1332,309
1333,308
1333,121
1334,502
1335,218
1336,120
1336,123
1337,403
1337,105
1338,415
1338,104
1338,306
1339,602
1340,512
1341,130
1341,408
1341,601
1342,409
1342,407
1342,123
1343,415
1343,403
1344,206
1345,304
1345,109
1346,505
1347,415
1348,307
1348,405
1348,404
1349,601
1350,120
1350,102
1351,215
1351,122
1351,104
1351,513
1351,414
1352,107
1352,220
1353,209
1353,123
1353,313
1354,311
1354,403
1355,116
1356,201
1357,208
1357,513
1358,116
1358,214
1358,411
1359,215
1360,509
1361,402
1361,207
1362,117
1363,201
1363,414
1364,112
1364,123
1364,410
1365,210
1365,206
1365,215
1366,401
1366,101
1367,117
1368,413
1369,407
1369,514
1370,214
1371,602
1371,503
1372,209
1372,103
1372,515
1372,117
1373,116
1373,406
1373,315
1373,502
1374,107
1375,312
1375,110
1376,207
1376,412
1376,124
1377,413
1378,205
1379,501
1379,310
1380,312
1380,306
1380,504
1380,304
1381,511
1381,410
1381,311
1382,201
1383,209
1384,301
1385,203
1386,117
1387,405
1388,206
1389,208
1389,101
1390,122
1391,106
1392,404
1392,315
1392,310
1392,116
1393,123
1394,105
1395,218
1396,103
1396,601
1397,406
1397,303
1397,108
1397,116
1398,128
1399,118
1400,505
1400,504
1401,213
1402,511
1403,408
1404,510
1405,201
1406,507
1407,211
1407,408
1408,102
1409,214
1410,509
1410,207
1410,204
1411,112
1412,212
1413,110
1413,409
1413,122
1413,101
1414,128
1414,119
1415,127
1415,305
1415,213
1416,512
1417,124
1418,114
1419,213
1419,120
1420,124
1420,302
1420,411
1420,102
1421,504
1422,115
1423,406
1423,202
1424,310
1425,112
1425,121
1425,603
1425,104
1425,219
1426,101
1427,128
1427,113
1427,119
1428,209
1428,311
1428,218
1429,406
1429,407
1430,508
1431,202
1432,128
1433,505
1434,202
1435,125
1435,312
1435,123
1436,413
1436,603
1437,210
1438,510
1439,208
1439,211
1440,130
1440,301
1440,204
1441,210
1442,413
1443,121
1444,210
1445,121
1445,515
1445,107
1445,411
1446,305
1447,603
1447,413
1448,304
1448,303
1448,129
1449,404
1449,110
1449,102
1450,127
1450,123
1451,130
1451,217
1452,506
1452,501
1453,602
1453,407
1453,129
1454,203
1455,201
1456,216
1457,408
1458,412
1459,308
1459,126
1460,108
1461,218
1461,306
1462,404
1462,509
1462,502
1463,120
1463,501
1463,112
1464,219
1464,217
1465,305
1466,204
1466,304
1467,302
1468,108
1469,119
1469,105
1469,312
1469,511
1470,510
1470,208
1471,218
1472,217
1473,411
1473,405
1474,119
1474,312
1474,514
1475,409
1476,513
1477,506
1478,413
1479,116
1480,402
1481,509
1482,211
1482,210
1483,603
1484,309
1485,501
1486,506
1487,112
1487,117
1487,214
1488,415
1489,507
1489,508
1490,409
1491,102
1492,511
1493,406
1494,116
1494,309
1495,219
1495,121
1495,108
1496,303
1497,206
1497,307
1497,313
1498,302
1498,122
1499,213
1500,408
1501,107
1502,215
1503,303
1504,114
1505,215
1505,129
1506,122
1507,207
1508,125
1508,406
1508,112
1509,116
1510,118
1511,509
1512,308
1513,401
1514,303
1514,125
1515,412
1515,409
1516,405
1516,123
1517,406
1517,204
1517,102
1518,307
1519,313
1520,409
1520,111
1521,407
1522,104
1522,514
1523,502
1524,312
1525,217
1525,412
1526,502
1527,407
1528,312
1529,129
1530,314
1530,211
1530,311
1531,305
1532,409
1532,107
1532,402
1533,305
1534,216
1535,510
1536,118
1537,121
1537,314
1537,211
1537,216
1538,304
1538,302
1538,313
1539,103
1539,414
1539,411
1540,205
1541,410
1542,506
1543,111
1544,409
1544,213
1544,307
1544,301
1545,312
1546,205
1547,309
1547,106
1548,504
1548,219
1548,128
1549,218
1550,503
1551,508
1552,302
1553,220
1554,209
1555,502
1556,113
1557,603
1558,514
1559,103
1559,502
1560,121
1561,125
1561,603
1562,207
1563,303
1563,304
1564,509
1565,106
1566,206
1567,101
1567,502
1567,602
1568,126
1568,410
1569,111
1569,515
1569,201
1570,508
1571,117
1572,410
1572,102
1572,103
1572,405
1573,128
1574,219
1574,202
1575,130
1576,306
1577,402
1578,407
1579,111
1580,121
1581,128
1581,503
1582,105
1583,304
1583,109
1584,204
1584,605
1585,510
1585,601
1585,312
1586,314
1587,207
1588,313
1589,514
1590,604
1590,508
1590,412
1591,126
1591,406
1592,128
1593,413
1593,107
1594,303
1594,220
1595,207
1596,311
1597,507
1597,112
1598,218
1599,310
1600,605
1601,211
1602,401
1603,130
1604,602
1605,109
1606,101
1607,220
1607,210
1608,203
1608,504
1609,503
1610,309
1611,503
1612,411
1613,118
1614,508
1614,129
1614,314
1615,410
1616,125
1617,202
1618,123
1619,405
1619,116
1620,414
1621,207
1621,415
1621,217
1622,501
1623,219
1623,302
1623,105
1624,121
1624,127
1624,106
1625,305
1626,504
1626,209
1627,408
1628,514
1628,208
1629,211
1629,111
1629,107
1630,602
1630,507
1631,123
1631,104
1631,213
1632,307
1632,605
1632,414
1633,207
1633,515
1633,413
1634,502
1635,514
1636,513
1636,217
1637,505
1638,512
1638,127
1638,208
1639,202
1639,504
1639,204
1640,112
1640,315
1641,104
1642,310
1643,120
1644,304
1645,202
1646,206
1647,116
1647,210
1647,402
1648,125
1649,301
1649,126
1650,601
1651,309
1652,415
1653,603
1654,119
1654,216
1655,112
1655,125
1655,510
1656,106
1657,515
1657,105
1658,504
1658,130
1659,508
1660,214
1660,220
1661,101
1662,401
1662,102
1662,302
1662,114
1663,603
1663,504
1663,314
1664,502
1665,115
1665,116
1666,408
1667,402
1667,216
1668,209
1669,121
1670,220
1671,207
1671,315
1671,118
1672,212
1673,401
1673,309
1674,112
1675,408
1676,301
1677,303
1677,127
1678,306
1679,122
1679,220
1679,206
1680,217
1681,213
1682,303
1683,414
1684,126
1684,104
1685,401
1686,511
1687,105
1687,310
1688,502
1688,404
1689,409
1690,105
1691,127
1692,120
1692,220
1693,128
1694,603
1695,308
1695,501
1696,106
1697,302
1697,507
1697,603
1698,313
1699,504
1700,514
1701,309
1701,308
1702,109
1703,202
1703,502
1704,217
1705,206
1706,408
1707,124
1708,507
1708,604
1708,101
1709,120
1709,207
1710,301
1710,506
1711,401
1712,122
1712,219
1713,122
1713,208
1713,305
1713,601
1714,301
1715,123
1716,605
1716,101
1717,410
1718,101
1718,509
1719,121
1720,210
1720,502
1720,403
1721,114
1721,122
1722,106
1723,101
1724,122
1724,130
1724,216
1724,127
1725,314
1726,209
1727,303
1728,414
1729,312
1729,301
1730,409
1731,514
1731,504
1732,203
1733,108
1734,506
1735,407
1736,127
1737,130
1737,309
1737,406
1738,509
1739,112
1739,307
1740,114
1741,301
1741,413
1741,107
1742,502
1743,115
1743,513
1743,106
1744,130
1744,307
1744,107
1745,205
1746,303
1747,204
1748,314
1748,106
1748,109
1749,217
1750,201
1750,413
1750,211
1750,513
1751,210
1751,402
1752,304
1753,114
1754,212
1755,110
1756,509
1757,112
1758,107
1759,404
1760,513
1761,508
1762,207
1762,212
1763,130
1764,515
1765,205
1765,122
1766,118
1767,509
1767,507
1768,128
1768,407
1769,514
1770,202
1771,108
1771,114
1771,511
1772,314
1772,308
1773,515
1774,214
1775,602
1776,213
1777,307
1777,206
1777,302
1778,404
1779,508
1780,411
1780,205
1781,217
1782,109
1783,401
1783,108
1784,110
1785,220
1785,216
1785,201
1786,210
1787,303
1788,113
1789,406
1789,204
1789,212
1789,117
1790,515
1790,207
1791,408
1792,508
1793,205
1793,218
1793,110
1794,311
1795,403
1795,103
1796,513
1796,303
1797,509
1798,129
1799,506
1799,109
1800,403
1801,407
1802,116
1803,412
1804,506
1805,118
1806,216
1807,312
1807,209
1808,310
1808,308
1809,213
1810,115
1810,309
1810,205
1811,308
1811,120
1811,406
1812,104
1812,601
1813,106
1813,215
1813,108
1814,220
1815,407
1816,218
1816,216
1816,410
1817,125
1818,305
1819,510
1819,110
1820,403
1821,313
1821,602
1822,604
1823,124
1823,506
1824,512
1825,313
1825,301
1825,105
1825,505
1826,116
1827,315
1828,411
1829,104
1830,401
1830,310
1831,220
1832,109
1833,121
1834,414
1835,120
1835,113
1835,512
1836,103
1837,412
1838,511
1838,514
1839,124
1840,202
1841,509
1842,413
1843,510
1844,506
1844,125
1845,219
1846,112
1847,117
1847,208
1847,605
1848,110
1848,113
1848,511
1848,405
1849,306
1850,604
1851,602
1852,120
1853,203
1853,127
1853,507
1854,118
1854,126
1855,312
1855,407
1855,310
1856,204
1856,402
1856,115
1857,215
1857,510
1858,103
1859,315
1860,403
1860,121
1861,101
1861,113
1861,123
1862,108
1863,122
1863,102
1864,413
1865,502
1865,209
1865,506
1866,309
1866,306
1866,212
1866,303
1867,511
1867,210
1867,401
1868,106
1869,219
1870,505
1871,206
1871,110
1872,314
1873,130
1873,505
1874,101
1875,127
1876,216
1876,312
1877,114
1877,310
1878,307
1878,107
1879,218
1880,604
1880,504
1880,305
1881,124
1882,202
1883,603
1884,504
1885,501
1886,101
1886,220
1887,216
1887,301
1887,214
1887,502
1888,404
1888,401
1889,506
1890,412
1891,112
1892,111
1892,115
1893,210
1893,313
1893,407
1893,602
1893,504
1894,108
1895,408
1896,408
1896,514
1896,107
